# Blind pass C of f.30r-v (no.22), second reader, 24 Sept 2026: three Opus subagents (f30r L01-18, f30r L19-35, f30v L01-20) from images/crops_f30 + atlas/atlas_f29.png + atlas_f30add.png only, before any other f.30 file was opened. index counts every token in the line incl. dots; half = crop row; conf M = pass marked ? ; L = [?] illegible. NEW:<desc> = shape not in atlas.
line	index	sign	confidence	note
f30r_L01	1	HASH	H	half a; idx6 crossed #t shape, 4t vs Af; idx12/14 open loop with long descender swinging left, 9 vs g2; last sign cut at crop edge
f30r_L01	2	ss2	H	half a
f30r_L01	3	FL	H	half a
f30r_L01	4	xr	H	half a
f30r_L01	5	zb	H	half a
f30r_L01	6	4t	M	half a
f30r_L01	7	r3	H	half a
f30r_L01	8	BOX	H	half a
f30r_L01	9	ss2	H	half a
f30r_L01	10	zb	H	half a
f30r_L01	11	z3	H	half a
f30r_L01	12	9	M	half a
f30r_L01	13	lam	H	half a
f30r_L01	14	9	M	half a
f30r_L01	15	III	H	half a
f30r_L01	16	[?]	L	half a
f30r_L01	17	.	H	half b; idx0 may be ':'; c? = c-like with bar above; br? circle with cross; last k-like with bar, lt vs rs
f30r_L01	18	ss2	H	half b
f30r_L01	19	FL	H	half b
f30r_L01	20	sl	H	half b
f30r_L01	21	zb	H	half b
f30r_L01	22	xr	H	half b
f30r_L01	23	h	H	half b
f30r_L01	24	BOX	H	half b
f30r_L01	25	ss2	H	half b
f30r_L01	26	g	H	half b
f30r_L01	27	fh	H	half b
f30r_L01	28	h	H	half b
f30r_L01	29	2	H	half b
f30r_L01	30	9	H	half b
f30r_L01	31	ss2	H	half b
f30r_L01	32	FL	H	half b
f30r_L01	33	c	M	half b
f30r_L01	34	xr	H	half b
f30r_L01	35	Af	H	half b
f30r_L01	36	III	H	half b
f30r_L01	37	br	M	half b
f30r_L01	38	9	H	half b
f30r_L01	39	lt	M	half b
f30r_L02	1	INF	H	half a; xr drawn as N-squiggle followed by small r/2; last sign xr with extra loop
f30r_L02	2	null_o	H	half a
f30r_L02	3	xr	H	half a
f30r_L02	4	2	M	half a
f30r_L02	5	BOX	H	half a
f30r_L02	6	TRI	H	half a
f30r_L02	7	III	H	half a
f30r_L02	8	n6	H	half a
f30r_L02	9	sl	H	half a
f30r_L02	10	zb	H	half a
f30r_L02	11	2	H	half a
f30r_L02	12	h	H	half a
f30r_L02	13	z3	H	half a
f30r_L02	14	FL	H	half a
f30r_L02	15	zb	H	half a
f30r_L02	16	xr	M	half a
f30r_L02	17	o	M	half b; first sign at crop edge; E? is S/5-like with underbar; mx? followed by x (rx pair)
f30r_L02	18	FL	H	half b
f30r_L02	19	xr	H	half b
f30r_L02	20	2	H	half b
f30r_L02	21	fh	H	half b
f30r_L02	22	m	H	half b
f30r_L02	23	QQ	H	half b
f30r_L02	24	9	H	half b
f30r_L02	25	ss2	H	half b
f30r_L02	26	NEW:r-joined-to-e	H	half b
f30r_L02	27	lt	H	half b
f30r_L02	28	g	H	half b
f30r_L02	29	2	H	half b
f30r_L02	30	zb	H	half b
f30r_L02	31	mx	M	half b
f30r_L02	32	x	H	half b
f30r_L02	33	BOX	H	half b
f30r_L02	34	FL	H	half b
f30r_L02	35	5	H	half b
f30r_L02	36	br	H	half b
f30r_L02	37	E	M	half b
f30r_L02	38	.	H	half b
f30r_L02	39	dl	H	half b
f30r_L02	40	r3	H	half b
f30r_L02	41	9	H	half b
f30r_L03	1	paren	M	half a; idx0 large curve down-left may belong to line above; recurring c-with-bar-above coded c?
f30r_L03	2	NEW:small-c-with-hat	H	half a
f30r_L03	3	BOX	H	half a
f30r_L03	4	c	H	half a
f30r_L03	5	x	H	half a
f30r_L03	6	2	H	half a
f30r_L03	7	Rt	H	half a
f30r_L03	8	br	H	half a
f30r_L03	9	zb	H	half a
f30r_L03	10	ss2	H	half a
f30r_L03	11	c	M	half a
f30r_L03	12	9	H	half a
f30r_L03	13	xr	H	half a
f30r_L03	14	2	H	half a
f30r_L03	15	BOX	H	half a
f30r_L03	16	INF	H	half a
f30r_L03	17	rho	H	half a
f30r_L03	18	z	H	half b; idx8 5 with descender (5 vs g2); diamond-with-cross preceded by dot; Tb? p-like with bar
f30r_L03	19	xr	M	half b
f30r_L03	20	5	H	half b
f30r_L03	21	m	H	half b
f30r_L03	22	2	H	half b
f30r_L03	23	dl	H	half b
f30r_L03	24	dl	H	half b
f30r_L03	25	br	H	half b
f30r_L03	26	5	M	half b
f30r_L03	27	9	H	half b
f30r_L03	28	2	H	half b
f30r_L03	29	ST	H	half b
f30r_L03	30	A2	H	half b
f30r_L03	31	.	H	half b
f30r_L03	32	NEW:diamond-with-cross	H	half b
f30r_L03	33	r3	H	half b
f30r_L03	34	9	H	half b
f30r_L03	35	2	H	half b
f30r_L03	36	FL	H	half b
f30r_L03	37	xr	H	half b
f30r_L03	38	Tb	M	half b
f30r_L03	39	9	H	half b
f30r_L04	1	2	M	half a; idx0 small r-like with dot, coded 2?; idx11 crossed double f with loop, Af vs 4t
f30r_L04	2	III	H	half a
f30r_L04	3	FL	H	half a
f30r_L04	4	m	H	half a
f30r_L04	5	lt	H	half a
f30r_L04	6	z3	H	half a
f30r_L04	7	c	M	half a
f30r_L04	8	dl	H	half a
f30r_L04	9	Rt	H	half a
f30r_L04	10	h	H	half a
f30r_L04	11	D	H	half a
f30r_L04	12	Af	M	half a
f30r_L04	13	T	H	half a
f30r_L04	14	m	H	half a
f30r_L04	15	A2	H	half a
f30r_L04	16	n6	H	half a
f30r_L04	17	c	M	half a
f30r_L04	18	9	H	half b; idx11 #-like without loop (HASH vs 4t); idx20 S with bar; idx21 small h+z
f30r_L04	19	r3	H	half b
f30r_L04	20	zb	H	half b
f30r_L04	21	ss2	H	half b
f30r_L04	22	z	H	half b
f30r_L04	23	NEW:n-with-descender	H	half b
f30r_L04	24	c	H	half b
f30r_L04	25	m	H	half b
f30r_L04	26	r3	H	half b
f30r_L04	27	h	H	half b
f30r_L04	28	aq	M	half b
f30r_L04	29	4t	M	half b
f30r_L04	30	9	H	half b
f30r_L04	31	FL	H	half b
f30r_L04	32	dl	H	half b
f30r_L04	33	III	H	half b
f30r_L04	34	D	H	half b
f30r_L04	35	z	H	half b
f30r_L04	36	n6	H	half b
f30r_L04	37	c	M	half b
f30r_L04	38	5	M	half b
f30r_L04	39	lz	M	half b
f30r_L04	40	9	H	half b
f30r_L05	1	E	H	half a; 2? = small r-shape with dot
f30r_L05	2	z3	H	half a
f30r_L05	3	ss2	H	half a
f30r_L05	4	9	H	half a
f30r_L05	5	2	M	half a
f30r_L05	6	BOX	H	half a
f30r_L05	7	n6	H	half a
f30r_L05	8	lam	H	half a
f30r_L05	9	fh	H	half a
f30r_L05	10	NEW:small-n	H	half a
f30r_L05	11	.	H	half a
f30r_L05	12	xr	H	half a
f30r_L05	13	2	M	half a
f30r_L05	14	c	M	half a
f30r_L05	15	dl	H	half a
f30r_L05	16	lt	H	half a
f30r_L05	17	g	H	half a
f30r_L05	18	r3	H	half a
f30r_L05	19	ST	H	half a
f30r_L05	20	z	H	half b; mx? x = r-arch followed by x (also L02b); idx17 m with strike = Mx
f30r_L05	21	bb	M	half b
f30r_L05	22	fh	H	half b
f30r_L05	23	NEW:loop-over-8	H	half b
f30r_L05	24	h	H	half b
f30r_L05	25	xr	H	half b
f30r_L05	26	4t	M	half b
f30r_L05	27	m	H	half b
f30r_L05	28	9	H	half b
f30r_L05	29	fh	H	half b
f30r_L05	30	III	H	half b
f30r_L05	31	mx	M	half b
f30r_L05	32	x	H	half b
f30r_L05	33	h	H	half b
f30r_L05	34	Rt	H	half b
f30r_L05	35	aq	M	half b
f30r_L05	36	lam	H	half b
f30r_L05	37	Mx	H	half b
f30r_L05	38	z	H	half b
f30r_L05	39	z3	H	half b
f30r_L06	1	br	H	half a; last sign cut at crop edge
f30r_L06	2	9	H	half a
f30r_L06	3	2	H	half a
f30r_L06	4	xr	H	half a
f30r_L06	5	c	H	half a
f30r_L06	6	ss2	H	half a
f30r_L06	7	9	H	half a
f30r_L06	8	FL	H	half a
f30r_L06	9	c	M	half a
f30r_L06	10	zb	H	half a
f30r_L06	11	h	H	half a
f30r_L06	12	br	H	half a
f30r_L06	13	lam	H	half a
f30r_L06	14	aq	M	half a
f30r_L06	15	NEW:S-with-dot	H	half a
f30r_L06	16	[?]	L	half a
f30r_L06	17	h	H	half b; 5? reversed-5/sigma shape; rho? is sideways-8 form
f30r_L06	18	BOX	H	half b
f30r_L06	19	c	H	half b
f30r_L06	20	sl	H	half b
f30r_L06	21	NEW:loop-over-triangle	H	half b
f30r_L06	22	zb	H	half b
f30r_L06	23	Af	H	half b
f30r_L06	24	z	H	half b
f30r_L06	25	NEW:asterisk-star-with-tail	H	half b
f30r_L06	26	rho	M	half b
f30r_L06	27	lam	H	half b
f30r_L06	28	xr	H	half b
f30r_L06	29	5	M	half b
f30r_L06	30	m	H	half b
f30r_L06	31	.	H	half b
f30r_L06	32	ss2	H	half b
f30r_L06	33	c	M	half b
f30r_L06	34	NEW:tall-beta-shape	H	half b
f30r_L06	35	2	M	half b
f30r_L06	36	2	H	half b
f30r_L06	37	5	H	half b
f30r_L06	38	sl	H	half b
f30r_L06	39	FL	H	half b
f30r_L07	1	fh	H	half a; CROSS? = plus with bars/foot; 4t? #-like without loop
f30r_L07	2	z3	H	half a
f30r_L07	3	2	H	half a
f30r_L07	4	CROSS	M	half a
f30r_L07	5	Rt	H	half a
f30r_L07	6	.	H	half a
f30r_L07	7	h	H	half a
f30r_L07	8	br	H	half a
f30r_L07	9	2	H	half a
f30r_L07	10	zb	H	half a
f30r_L07	11	mx	M	half a
f30r_L07	12	x	H	half a
f30r_L07	13	4t	M	half a
f30r_L07	14	xr	H	half a
f30r_L07	15	NEW:small-n	H	half a
f30r_L07	16	BOX	H	half a
f30r_L07	17	n6	H	half a
f30r_L07	18	lt	H	half a
f30r_L07	19	ss2	H	half b; idx6 a with long diagonal tail upward; idx14 large loop with big descender, 9 vs g2
f30r_L07	20	NEW:k-shape	H	half b
f30r_L07	21	g	H	half b
f30r_L07	22	2	H	half b
f30r_L07	23	lam	H	half b
f30r_L07	24	h	H	half b
f30r_L07	25	A2	M	half b
f30r_L07	26	Rt	H	half b
f30r_L07	27	2	M	half b
f30r_L07	28	2	H	half b
f30r_L07	29	9	H	half b
f30r_L07	30	g	H	half b
f30r_L07	31	ST	H	half b
f30r_L07	32	III	H	half b
f30r_L07	33	2	H	half b
f30r_L07	34	g2	M	half b
f30r_L07	35	z	H	half b
f30r_L07	36	r3	H	half b
f30r_L07	37	lt	H	half b
f30r_L07	38	ll	H	half b
f30r_L07	39	9	H	half b
f30r_L07	40	2	H	half b
f30r_L08	1	NEW:8-with-tail	H	half a; idx5 box with bar variant; last sign S-like long stroke
f30r_L08	2	m	H	half a
f30r_L08	3	9	H	half a
f30r_L08	4	n6	H	half a
f30r_L08	5	g	H	half a
f30r_L08	6	BOX	H	half a
f30r_L08	7	2	H	half a
f30r_L08	8	sl	H	half a
f30r_L08	9	2	M	half a
f30r_L08	10	Af	M	half a
f30r_L08	11	III	H	half a
f30r_L08	12	2	H	half a
f30r_L08	13	fh	H	half a
f30r_L08	14	xr	H	half a
f30r_L08	15	5	M	half a
f30r_L08	16	c	H	half a
f30r_L08	17	sl	H	half a
f30r_L08	18	2	H	half a
f30r_L08	19	sl	M	half a
f30r_L08	20	[?]	L	half b; idx0 cut at edge; idx2 circle with bar through plus tail; idx6 arch joined to n6; last is filled circle
f30r_L08	21	9	M	half b
f30r_L08	22	oi	M	half b
f30r_L08	23	br	H	half b
f30r_L08	24	BOX	H	half b
f30r_L08	25	2	H	half b
f30r_L08	26	ss2	M	half b
f30r_L08	27	n6	H	half b
f30r_L08	28	r3	H	half b
f30r_L08	29	z	H	half b
f30r_L08	30	CROSS	M	half b
f30r_L08	31	2	H	half b
f30r_L08	32	lt	H	half b
f30r_L08	33	Mx	H	half b
f30r_L08	34	lam	H	half b
f30r_L08	35	2	M	half b
f30r_L08	36	m	H	half b
f30r_L08	37	INF	M	half b
f30r_L08	38	dl	H	half b
f30r_L08	39	z	H	half b
f30r_L08	40	br	M	half b
f30r_L09	1	ss2	H	half a; idx11 small b with bar; last sign cut at edge
f30r_L09	2	9	H	half a
f30r_L09	3	2	M	half a
f30r_L09	4	2	H	half a
f30r_L09	5	BOX	H	half a
f30r_L09	6	Af	H	half a
f30r_L09	7	E	H	half a
f30r_L09	8	A2	M	half a
f30r_L09	9	9	H	half a
f30r_L09	10	zb	H	half a
f30r_L09	11	NEW:asterisk-star	H	half a
f30r_L09	12	bb	M	half a
f30r_L09	13	Af	M	half a
f30r_L09	14	sl	H	half a
f30r_L09	15	Rt	M	half a
f30r_L09	16	aq	M	half a
f30r_L09	17	z	H	half a
f30r_L09	18	2	M	half a
f30r_L09	19	m	H	half b; idx19 N-shape alone
f30r_L09	20	ST	H	half b
f30r_L09	21	dl	H	half b
f30r_L09	22	g2	H	half b
f30r_L09	23	r3	H	half b
f30r_L09	24	lam	H	half b
f30r_L09	25	n6	H	half b
f30r_L09	26	fh	H	half b
f30r_L09	27	9	H	half b
f30r_L09	28	z	H	half b
f30r_L09	29	Mx	H	half b
f30r_L09	30	mx	M	half b
f30r_L09	31	x	H	half b
f30r_L09	32	9	H	half b
f30r_L09	33	5	M	half b
f30r_L09	34	m	H	half b
f30r_L09	35	xr	H	half b
f30r_L09	36	lt	H	half b
f30r_L09	37	2	M	half b
f30r_L09	38	xr	M	half b
f30r_L09	39	h	H	half b
f30r_L09	40	E	M	half b
f30r_L09	41	.	H	half b
f30r_L10	1	z	H	half a; idx4 a-like with h tail; idx10 x with hooked loop
f30r_L10	2	lam	H	half a
f30r_L10	3	g	H	half a
f30r_L10	4	rho	H	half a
f30r_L10	5	A2	M	half a
f30r_L10	6	xr	H	half a
f30r_L10	7	CROSS	M	half a
f30r_L10	8	c	M	half a
f30r_L10	9	QQ	H	half a
f30r_L10	10	9	H	half a
f30r_L10	11	xr	M	half a
f30r_L10	12	c	H	half a
f30r_L10	13	Tb	M	half a
f30r_L10	14	r3	H	half a
f30r_L10	15	9	H	half a
f30r_L10	16	n6	H	half b
f30r_L10	17	5	H	half b
f30r_L10	18	sl	H	half b
f30r_L10	19	zb	H	half b
f30r_L10	20	ss2	H	half b
f30r_L10	21	xr	H	half b
f30r_L10	22	BOX	H	half b
f30r_L10	23	n6	H	half b
f30r_L10	24	z	H	half b
f30r_L10	25	aq	H	half b
f30r_L10	26	g	H	half b
f30r_L10	27	lt	H	half b
f30r_L10	28	2	M	half b
f30r_L10	29	c	H	half b
f30r_L10	30	h	H	half b
f30r_L10	31	rho	H	half b
f30r_L10	32	z	H	half b
f30r_L10	33	xr	H	half b
f30r_L10	34	ll	H	half b
f30r_L10	35	z3	H	half b
f30r_L10	36	br	H	half b
f30r_L10	37	fh	H	half b
f30r_L10	38	9	H	half b
f30r_L11	1	ST	H	half a; idx2 f-like with two crossbars; idx6 crossed f with small tail, 4t vs Af
f30r_L11	2	9	H	half a
f30r_L11	3	CROSS	M	half a
f30r_L11	4	E	H	half a
f30r_L11	5	lam	H	half a
f30r_L11	6	xr	H	half a
f30r_L11	7	4t	M	half a
f30r_L11	8	9	H	half a
f30r_L11	9	br	H	half a
f30r_L11	10	c	H	half a
f30r_L11	11	sl	H	half a
f30r_L11	12	NEW:N-shape	H	half a
f30r_L11	13	lt	H	half a
f30r_L11	14	h	H	half a
f30r_L11	15	2	H	half a
f30r_L11	16	m	H	half b
f30r_L11	17	.	H	half b
f30r_L11	18	QQ	H	half b
f30r_L11	19	9	H	half b
f30r_L11	20	c	H	half b
f30r_L11	21	z	H	half b
f30r_L11	22	n6	H	half b
f30r_L11	23	lt	H	half b
f30r_L11	24	xr	H	half b
f30r_L11	25	NEW:e-joined-to-v	H	half b
f30r_L11	26	ss2	H	half b
f30r_L11	27	NEW:loop-over-8	H	half b
f30r_L11	28	xr	H	half b
f30r_L11	29	zb	H	half b
f30r_L11	30	h	H	half b
f30r_L11	31	9	H	half b
f30r_L11	32	ST	H	half b
f30r_L11	33	bb	M	half b
f30r_L11	34	g	H	half b
f30r_L11	35	BOX	H	half b
f30r_L12	1	.	H	half a; idx2 small inverted-v + z; last sign cut at edge
f30r_L12	2	CROSS	M	half a
f30r_L12	3	lz	M	half a
f30r_L12	4	Tb	M	half a
f30r_L12	5	g	H	half a
f30r_L12	6	2	H	half a
f30r_L12	7	9	H	half a
f30r_L12	8	xr	H	half a
f30r_L12	9	NEW:small-n	H	half a
f30r_L12	10	xr	H	half a
f30r_L12	11	c	M	half a
f30r_L12	12	ST	H	half a
f30r_L12	13	2	M	half a
f30r_L12	14	aq	M	half a
f30r_L12	15	ss2	H	half a
f30r_L12	16	mx	M	half a
f30r_L12	17	x	H	half b; idx4 I with bars top and bottom; last small H at line end
f30r_L12	18	FL	H	half b
f30r_L12	19	III	H	half b
f30r_L12	20	fh	H	half b
f30r_L12	21	Th	M	half b
f30r_L12	22	c	H	half b
f30r_L12	23	z	H	half b
f30r_L12	24	2	H	half b
f30r_L12	25	m	H	half b
f30r_L12	26	.	H	half b
f30r_L12	27	xr	H	half b
f30r_L12	28	h	H	half b
f30r_L12	29	9	H	half b
f30r_L12	30	n6	H	half b
f30r_L12	31	fh	H	half b
f30r_L12	32	BOX	H	half b
f30r_L12	33	g	H	half b
f30r_L12	34	T	H	half b
f30r_L12	35	xr	H	half b
f30r_L12	36	9	H	half b
f30r_L12	37	H	M	half b
f30r_L13	1	rho	H	half a
f30r_L13	2	z	H	half a
f30r_L13	3	xr	H	half a
f30r_L13	4	r3	H	half a
f30r_L13	5	9	H	half a
f30r_L13	6	lam	H	half a
f30r_L13	7	h	H	half a
f30r_L13	8	NEW:8-with-tail	H	half a
f30r_L13	9	c	M	half a
f30r_L13	10	r3	H	half a
f30r_L13	11	z	H	half a
f30r_L13	12	z3	H	half a
f30r_L13	13	br	H	half a
f30r_L13	14	sl	H	half a
f30r_L13	15	Tb	M	half a
f30r_L13	16	r3	H	half a
f30r_L13	17	9	H	half a
f30r_L13	18	9	H	half b; idx1 small v/y shape without underline
f30r_L13	19	yt	M	half b
f30r_L13	20	III	H	half b
f30r_L13	21	5	M	half b
f30r_L13	22	m	H	half b
f30r_L13	23	z	H	half b
f30r_L13	24	2	M	half b
f30r_L13	25	c	M	half b
f30r_L13	26	5	H	half b
f30r_L13	27	sl	H	half b
f30r_L13	28	c	H	half b
f30r_L13	29	lam	H	half b
f30r_L13	30	.	H	half b
f30r_L13	31	ss2	H	half b
f30r_L13	32	9	H	half b
f30r_L13	33	2	M	half b
f30r_L13	34	h	H	half b
f30r_L13	35	lt	H	half b
f30r_L13	36	g	H	half b
f30r_L13	37	2	H	half b
f30r_L13	38	zb	H	half b
f30r_L13	39	bb	M	half b
f30r_L13	40	Af	H	half b
f30r_L13	41	9	H	half b
f30r_L14	1	mx	M	half a; aq here has underline
f30r_L14	2	x	H	half a
f30r_L14	3	xr	H	half a
f30r_L14	4	c	H	half a
f30r_L14	5	sl	H	half a
f30r_L14	6	2	H	half a
f30r_L14	7	m	H	half a
f30r_L14	8	.	H	half a
f30r_L14	9	br	H	half a
f30r_L14	10	z	H	half a
f30r_L14	11	aq	H	half a
f30r_L14	12	2	H	half a
f30r_L14	13	lt	H	half a
f30r_L14	14	2	M	half a
f30r_L14	15	NEW:asterisk-star	H	half a
f30r_L14	16	c	M	half a
f30r_L14	17	9	H	half a
f30r_L14	18	n6	H	half a
f30r_L14	19	m	H	half a
f30r_L14	20	NEW:small-n	H	half b; idx0 at crop edge
f30r_L14	21	.	H	half b
f30r_L14	22	ss2	H	half b
f30r_L14	23	zb	H	half b
f30r_L14	24	r3	H	half b
f30r_L14	25	III	H	half b
f30r_L14	26	2	M	half b
f30r_L14	27	z	H	half b
f30r_L14	28	n6	H	half b
f30r_L14	29	c	M	half b
f30r_L14	30	fh	H	half b
f30r_L14	31	BOX	H	half b
f30r_L14	32	2	H	half b
f30r_L14	33	lt	H	half b
f30r_L14	34	br	H	half b
f30r_L14	35	.	H	half b
f30r_L14	36	m	H	half b
f30r_L14	37	9	H	half b
f30r_L14	38	xr	H	half b
f30r_L14	39	zb	H	half b
f30r_L14	40	h	H	half b
f30r_L14	41	xr	H	half b
f30r_L14	42	c	H	half b
f30r_L15	1	dl	H	half a; NEW:S-with-bar same shape as L02b E? / L04b 5?
f30r_L15	2	mx	M	half a
f30r_L15	3	x	H	half a
f30r_L15	4	9	H	half a
f30r_L15	5	n6	H	half a
f30r_L15	6	FL	H	half a
f30r_L15	7	III	H	half a
f30r_L15	8	NEW:S-with-bar	H	half a
f30r_L15	9	g	H	half a
f30r_L15	10	sl	H	half a
f30r_L15	11	zb	H	half a
f30r_L15	12	Af	M	half a
