code	value	grade	source
n	V	S	infer_unkeyed.py 24 Sept 2026: 26 occurrences, margin 351.4 bits over N; control, accepted proposals at band n>=10: 80/87 correct (control_f30.tsv, 10 draws)
BOX	E	S	infer_unkeyed.py 24 Sept 2026: 27 occurrences, margin 123.6 bits over I; control, accepted proposals at band n>=10: 80/87 correct (control_f30.tsv, 10 draws)
re	V	S	infer_unkeyed.py 24 Sept 2026: 7 occurrences, margin 68.6 bits over N; control, accepted proposals at band 5-9: 16/16 correct (control_f30.tsv, 10 draws)
A2	E	S	infer_unkeyed.py 24 Sept 2026: 17 occurrences, margin 67.8 bits over I; control, accepted proposals at band n>=10: 80/87 correct (control_f30.tsv, 10 draws)
III	E	S	infer_unkeyed.py 24 Sept 2026: 14 occurrences, margin 52.9 bits over I; control, accepted proposals at band n>=10: 80/87 correct (control_f30.tsv, 10 draws)
FL	S	S	infer_unkeyed.py 24 Sept 2026: 35 occurrences, margin 109.4 bits over NULL; control, accepted proposals at band n>=10: 80/87 correct (control_f30.tsv, 10 draws)
lz	H	S	infer_unkeyed.py 24 Sept 2026: 5 occurrences, margin 31.3 bits over L; control, accepted proposals at band 5-9: 16/16 correct (control_f30.tsv, 10 draws)
ST	L	S	infer_unkeyed.py 24 Sept 2026: 18 occurrences, margin 24.7 bits over NULL; control, accepted proposals at band n>=10: 80/87 correct (control_f30.tsv, 10 draws)
QQ	D	S	infer_unkeyed.py 24 Sept 2026: 8 occurrences, margin 16.5 bits over NULL; control, accepted proposals at band 5-9: 16/16 correct (control_f30.tsv, 10 draws)
Mx	L	S	infer_unkeyed.py 24 Sept 2026: 12 occurrences, margin 12.5 bits over N; control, accepted proposals at band n>=10: 80/87 correct (control_f30.tsv, 10 draws)
Sx	Q	S	infer_unkeyed.py 24 Sept 2026: 7 occurrences, margin 11.0 bits over I; control, accepted proposals at band 5-9: 16/16 correct (control_f30.tsv, 10 draws)
Tb	O	S	OVERRIDE of key.tsv P, f.30 extended reading only; test_f30r_top.py 24 Sept 2026: 22 occurrences, margin 283.4 bits over P (f.29r +18.1, f.30 +247.9, f.30r L01/02/11/12 +17.4), 4/21 outside occurrences lose >3 bits; shuffled-position control ('any', 100 draws) p=0.010; recovery at n=22 1.00 (test_f30r_top_round1.tsv)
q	B	S	OVERRIDE of key.tsv E (M), f.30 extended reading only; test_f30r_top.py 24 Sept 2026: 9 occurrences, margin 50.0 bits over E (f.29r +9.2, f.30 +40.8), 0/9 lose >3 bits; shuffled-position control (matched, 100 draws) p=0.010; recovery at n=9 ('any') 1.00 (test_f30r_top_round1.tsv)
