folio	line	index	sign	value	grade
f29r	L01	0	z7?	NULL	M
f29r	L01	1	xr	I	H
f29r	L01	2	ss2	NULL	M
f29r	L01	3	lam	A	H
f29r	L01	4	aq	Y	H
f29r	L01	5	q	E	M
f29r	L01	6	x	A	H
f29r	L01	7	z3	I	H
f29r	L01	8	zb	NULL	M
f29r	L01	9	ll	LL	H
f29r	L01	10	sl	E	H
f29r	L01	11	z	A	H
f29r	L01	12	5	C	H
f29r	L01	13	9	E	H
f29r	L01	15	dl	P	H
f29r	L01	16	lt	O	H
f29r	L01	17	r3	R	H
f29r	L01	18	m	T	H
f29r	L01	19	9	E	H
f29r	L01	20	g	V	H
f29r	L01	21	br	R	H
f29r	L01	22	h	V	H
f29r	L01	23	n6	N	H
f29r	L01	24	g2	G	H
f29r	L01	25	lam	A	H
f29r	L01	26	rs	R	H
f29r	L01	27	m	T	H
f29r	L01	28	z3	I	H
f29r	L01	29	5	C	H
f29r	L01	30	c	L	H
f29r	L01	31	sl	E	H
f29r	L01	32	ss2	NULL	M
f29r	L01	33	zb	NULL	M
f29r	L01	34	D	Q	H
f29r	L01	35	g	V	H
f29r	L01	36	sl	E	H
f29r	L01	37	xr	I	H
f29r	L01	38	x	A	H
f29r	L01	39	aq	Y	H
f29r	L01	40	p	M	H
f29r	L01	41	xr	I	H
f29r	L01	42	o	S	H
f29r	L02	0	lam	A	H
f29r	L02	2	dl	P	H
f29r	L02	3	x	A	H
f29r	L02	4	rs	R	H
f29r	L02	5	m	T	H
f29r	L02	7	4t	ET	M
f29r	L02	8	z	A	H
f29r	L02	9	zu	I	H
f29r	L02	10	rho	F	H
f29r	L02	11	lam	A	H
f29r	L02	12	z3	I	H
f29r	L02	13	5	C	H
f29r	L02	14	m	T	H
f29r	L02	15	c	L	H
f29r	L02	16	x	A	H
f29r	L02	17	fh	D	H
f29r	L02	18	br	R	H
f29r	L02	19	oi	E	H
f29r	L02	20	T	SS	H
f29r	L02	21	9	E	H
f29r	L02	22	eh	D	H
f29r	L02	23	oi	E	H
f29r	L02	24	fh	D	H
f29r	L02	25	sl	E	H
f29r	L02	26	T	SS	H
f29r	L02	27	g	V	H
f29r	L02	28	o	S	H
f29r	L02	29	x	A	H
f29r	L02	30	h	V	H
f29r	L02	31	lt	O	H
f29r	L02	32	g	V	H
f29r	L02	33	2	S	H
f29r	L02	34	bb	COM	H
f29r	L02	35	E	B	M
f29r	L02	36	xr	I	H
f29r	L02	37	9	E	H
f29r	L02	38	n6	N	H
f29r	L02	39	nq	Q	H
f29r	L02	40	h	V	H
f29r	L02	41	g	V	H
f29r	L02	42	5b	C	M
f29r	L02	43	sl	E	H
f29r	L02	44	2	S	H
f29r	L02	45	lt	O	H
f29r	L02	46	H	I	H
f29r	L02	47	yt	T	H
f29r	L03	0	x	A	H
f29r	L03	1	g	V	H
f29r	L03	2	r3	R	H
f29r	L03	3	lt	O	H
f29r	L03	4	aq	Y	H
f29r	L03	5	4t	ET	M
f29r	L03	6	2	S	H
f29r	L03	7	H	I	H
f29r	L03	8	c	L	H
f29r	L03	9	sl	E	H
f29r	L03	10	eh	D	H
f29r	L03	11	xr	I	H
f29r	L03	12	5	C	H
f29r	L03	13	m	T	H
f29r	L03	15	dl	P	H
f29r	L03	16	lt	O	H
f29r	L03	17	br	R	H
f29r	L03	18	yt	T	H
f29r	L03	19	sl	E	H
f29r	L03	20	g	V	H
f29r	L03	21	r3	R	H
f29r	L03	22	bb	COM	H
f29r	L03	23	g	V	H
f29r	L03	24	q	E	M
f29r	L03	25	c	L	H
f29r	L03	26	xr	I	H
f29r	L03	27	lt	O	H
f29r	L03	28	z3	I	H
f29r	L03	29	yt	T	H
f29r	L03	30	fh	D	H
f29r	L03	31	lam	A	H
f29r	L03	32	g	V	H
f29r	L03	33	oi	E	H
f29r	L03	34	n6	N	H
f29r	L03	35	eh?	D	M
f29r	L03	36	h	V	H
f29r	L03	37	br	R	H
f29r	L03	38	9	E	H
f29r	L03	39	lam	A	H
f29r	L03	40	aq	Y	H
f29r	L03	41	9	E	H
f29r	L03	42	h	V	H
f29r	L03	43	lt	O	H
f29r	L03	44	g	V	H
f29r	L03	45	o	S	H
f29r	L04	0	sl?	E	M
f29r	L04	1	lam	A	H
f29r	L04	2	H	I	H
f29r	L04	3	ll	LL	H
f29r	L04	4	9	E	H
f29r	L04	5	br	R	H
f29r	L04	6	H	I	H
f29r	L04	7	oi	E	H
f29r	L04	8	h	V	H
f29r	L04	9	lt	O	H
f29r	L04	10	g	V	H
f29r	L04	11	2	S	H
f29r	L04	13	dl	P	H
f29r	L04	14	r3	R	H
f29r	L04	15	H	I	H
f29r	L04	16	9	E	H
f29r	L04	17	c	L	H
f29r	L04	18	sl	E	H
f29r	L04	19	c	L	H
f29r	L04	20	h	V	H
f29r	L04	21	zu	I	H
f29r	L04	22	fh	D	H
f29r	L04	23	oi	E	H
f29r	L04	24	p	M	H
f29r	L04	25	lam	A	H
f29r	L04	26	n6	N	H
f29r	L04	27	eh	D	H
f29r	L04	28	9	E	H
f29r	L04	29	rs	R	H
f29r	L04	30	5	C	H
f29r	L04	31	x	A	H
f29r	L04	32	rs	R	H
f29r	L04	33	5	C	H
f29r	L04	34	sl	E	H
f29r	L04	35	2	S	H
f29r	L04	36	m	T	H
f29r	L04	37	c	L	H
f29r	L04	38	sl	E	H
f29r	L04	39	m	T	H
f29r	L04	40	lt	O	H
f29r	L04	41	yt	T	H
f29r	L04	42	x	A	H
f29r	L04	43	c	L	H
f29r	L05	0	yt	T	H
f29r	L05	1	b	O	H
f29r	L05	2	n6	N	H
f29r	L05	3	eh	D	H
f29r	L05	4	9	E	H
f29r	L05	5	p	M	H
f29r	L05	6	sl	E	H
f29r	L05	7	nr	N	H
f29r	L05	8	m	T	H
f29r	L05	10	4t	ET	M
f29r	L05	11	H	I	H
f29r	L05	12	lam	A	H
f29r	L05	13	zu	I	H
f29r	L05	14	5	C	H
f29r	L05	15	sl	E	H
f29r	L05	16	rho	F	H
f29r	L05	17	x	A	H
f29r	L05	18	H	I	H
f29r	L05	19	5	C	H
f29r	L05	20	m	T	H
f29r	L05	21	fh	D	H
f29r	L05	22	lam	A	H
f29r	L05	23	g	V	H
f29r	L05	24	c	L	H
f29r	L05	25	yt	T	H
f29r	L05	26	x	A	H
f29r	L05	27	n6	N	H
f29r	L05	28	yt	T	H
f29r	L05	29	D	Q	H
f29r	L05	30	g	V	H
f29r	L05	31	oi	E	H
f29r	L05	32	n6	N	H
f29r	L05	33	b	O	H
f29r	L05	34	d	V	H
f29r	L05	35	2	S	H
f29r	L05	36	m	T	H
f29r	L05	37	rs	R	H
f29r	L05	38	oi	E	H
f29r	L05	39	2	S	H
f29r	L05	40	x	A	H
f29r	L05	41	H	I	H
f29r	L05	42	E	B	M
f29r	L06	0	5	C	H
f29r	L06	1	m	T	H
f29r	L06	3	dl	P	H
f29r	L06	4	oi	E	H
f29r	L06	5	rs	R	H
f29r	L06	6	9	E	H
f29r	L06	7	fh?	D	M
f29r	L06	8	lam	A	H
f29r	L06	9	rho	F	H
f29r	L06	10	x	A	H
f29r	L06	11	H	I	H
f29r	L06	12	5	C	H
f29r	L06	13	m	T	H
f29r	L06	15	Hb	?	U
f29r	L06	16	rs	R	H
f29r	L06	17	x	A	H
f29r	L06	18	E	B	M
f29r	L06	19	fh	D	H
f29r	L06	20	oi	E	H
f29r	L06	21	xr	I	H
f29r	L06	22	n6	N	H
f29r	L06	23	2	S	H
f29r	L06	24	m	T	H
f29r	L06	25	x	A	H
f29r	L06	26	n6	N	H
f29r	L06	27	5	C	H
f29r	L06	28	sl	E	H
f29r	L06	29	fh	D	H
f29r	L06	30	g	V	H
f29r	L06	31	2	S	H
f29r	L06	32	5	C	H
f29r	L06	33	rs	R	H
f29r	L06	34	z3	I	H
f29r	L06	36	dl	P	H
f29r	L06	37	r3	R	H
f29r	L06	38	9	E	H
f29r	L06	39	c	L	H
f29r	L06	40	oi	E	H
f29r	L07	0	bb	COM	H
f29r	L07	1	m	T	H
f29r	L07	2	oi	E	H
f29r	L07	3	n6	N	H
f29r	L07	4	h	V	H
f29r	L07	5	lam	A	H
f29r	L07	6	h	V	H
f29r	L07	7	c	L	H
f29r	L07	8	oi	E	H
f29r	L07	9	g2	G	H
f29r	L07	10	r3	R	H
f29r	L07	11	x	A	H
f29r	L07	12	n6	N	H
f29r	L07	13	eh	D	H
f29r	L07	14	9	E	H
f29r	L07	15	2	S	H
f29r	L07	16	5	C	H
f29r	L07	17	sl	E	H
f29r	L07	18	q9	P	H
f29r	L07	19	zb	NULL	M
f29r	L07	20	g	V	H
f29r	L07	21	2	S	H
f29r	L07	22	fh	D	H
f29r	L07	23	h	V	H
f29r	L07	24	g	V	H
f29r	L07	25	H	I	H
f29r	L07	26	n6	N	H
f29r	L07	27	g2	G	H
f29r	L07	28	m	T	H
f29r	L07	29	xr	I	H
f29r	L07	30	9	E	H
f29r	L07	31	2	S	H
f29r	L07	32	p	M	H
f29r	L07	33	9	E	H
f29r	L07	34	4t	ET	M
f29r	L07	36	dl	P	H
f29r	L07	37	lt	O	H
f29r	L07	38	g	V	H
f29r	L07	39	r3	R	H
f29r	L08	0	L2?	L	M
f29r	L08	1	h	V	H
f29r	L08	2	zu	I	H
f29r	L08	3	2	S	H
f29r	L08	4	lam	A	H
f29r	L08	5	m	T	H
f29r	L08	6	x	A	H
f29r	L08	7	2	S	H
f29r	L08	8	rho	F	H
f29r	L08	9	lam	A	H
f29r	L08	10	z3	I	H
f29r	L08	11	br	R	H
f29r	L08	12	9	E	H
f29r	L08	13	xr	I	H
f29r	L08	14	lam	A	H
f29r	L08	15	zu	I	H
f29r	L08	16	5	C	H
f29r	L08	17	sl	E	H
f29r	L08	18	rho	F	H
f29r	L08	19	x	A	H
f29r	L08	20	H	I	H
f29r	L08	21	5	C	H
f29r	L08	22	m	T	H
f29r	L08	24	4t	ET	M
f29r	L08	25	c	L	H
f29r	L08	26	h	V	H
f29r	L08	27	aq	Y	H
f29r	L08	28	lam	A	H
f29r	L08	29	zu	I	H
f29r	L08	30	p	M	H
f29r	L08	31	b	O	H
f29r	L08	32	n6	N	H
f29r	L08	33	2	S	H
f29r	L08	34	m	T	H
f29r	L08	35	rs	R	H
f29r	L08	36	9	E	H
f29r	L08	37	m	T	H
f29r	L08	38	lt	O	H
f29r	L08	39	g	V	H
f29r	L08	40	yt	T	H
f29r	L09	0	r3?	R	M
f29r	L09	1	sl	E	H
f29r	L09	2	bb	COM	H
f29r	L09	3	m	T	H
f29r	L09	4	oi	E	H
f29r	L09	5	n6	N	H
f29r	L09	6	h	V	H
f29r	L09	8	dl	P	H
f29r	L09	9	b	O	H
f29r	L09	10	g	V	H
f29r	L09	11	rs	R	H
f29r	L09	12	c	L	H
f29r	L09	13	sl	E	H
f29r	L09	14	bb	COM	H
f29r	L09	15	yt	T	H
f29r	L09	16	oi	E	H
f29r	L09	17	n6	N	H
f29r	L09	18	yt	T	H
f29r	L09	19	9	E	H
f29r	L09	20	r3	R	H
f29r	L09	21	4t	ET	M
f29r	L09	22	b	O	H
f29r	L09	23	g	V	H
f29r	L09	24	2	S	H
f29r	L09	25	m	T	H
f29r	L09	26	sl	E	H
f29r	L09	27	r3	R	H
f29r	L09	29	lz	?	U
f29r	L09	30	lt	O	H
f29r	L09	31	rs	R	H
f29r	L09	32	2	S	H
f29r	L09	33	fh	D	H
f29r	L09	34	9	E	H
f29r	L09	35	o	S	H
f29r	L09	36	h	V	H
f29r	L09	37	2	S	H
f29r	L09	39	dl	P	H
f29r	L09	40	sl	E	H
f29r	L09	41	5	C	H
f29r	L09	42	lt	O	H
f29r	L09	43	n6	N	H
f29r	L10	0	D	Q	H
f29r	L10	1	g	V	H
f29r	L10	2	H	I	H
f29r	L10	3	oi	E	H
f29r	L10	4	2	S	H
f29r	L10	5	m	T	H
f29r	L10	6	5	C	H
f29r	L10	7	lam	A	H
f29r	L10	8	g	V	H
f29r	L10	9	2	S	H
f29r	L10	10	sl	E	H
f29r	L10	11	nr	N	H
f29r	L10	12	h	V	H
f29r	L10	13	oi	E	H
f29r	L10	14	xr	I	H
f29r	L10	15	lam	A	H
f29r	L10	16	aq	Y	H
f29r	L10	17	rho	F	H
f29r	L10	18	lam	A	H
f29r	L10	19	H	I	H
f29r	L10	20	5	C	H
f29r	L10	21	m	T	H
f29r	L10	23	c	L	H
f29r	L10	24	sl	E	H
f29r	L10	25	eh	D	H
f29r	L10	26	xr	I	H
f29r	L10	27	m	T	H
f29r	L10	29	lam	A	H
f29r	L10	30	rs	R	H
f29r	L10	31	m	T	H
f29r	L10	32	xr	I	H
f29r	L10	33	5	C	H
f29r	L10	34	c	L	H
f29r	L10	35	sl	E	H
f29r	L10	36	lam	A	H
f29r	L10	37	q9	P	H
f29r	L10	38	x	A	H
f29r	L10	39	rs	R	H
f29r	L10	40	yt	T	H
f29r	L11	0	dl	P	H
f29r	L11	1	b	O	H
f29r	L11	2	g	V	H
f29r	L11	3	rs	R	H
f29r	L11	4	h	V	H
f29r	L11	5	lt	O	H
f29r	L11	6	d	V	H
f29r	L11	7	o	S	H
f29r	L11	8	fh	D	H
f29r	L11	9	lt	O	H
f29r	L11	10	Mx	?	U
f29r	L11	11	9	E	H
f29r	L11	12	rs	R	H
f29r	L11	13	5	C	H
f29r	L11	14	lt	O	H
f29r	L11	15	g2	G	H
f29r	L11	16	n6	N	H
f29r	L11	17	b	O	H
f29r	L11	18	H	I	H
f29r	L11	19	T	SS	H
f29r	L11	20	lam	A	H
f29r	L11	21	n6	N	H
f29r	L11	22	5	C	H
f29r	L11	23	sl	E	H
f29r	L11	24	eh	D	H
f29r	L11	25	9	E	H
f29r	L11	26	m	T	H
f29r	L11	27	b	O	H
f29r	L11	28	g	V	H
f29r	L11	29	yt	T	H
f29r	L11	30	Af	M	H
f29r	L11	31	lam	A	H
f29r	L11	32	H	I	H
f29r	L11	33	o	S	H
f29r	L11	34	H	I	H
f29r	L11	35	oi	E	H
f29r	L11	36	h	V	H
f29r	L11	37	b	O	H
f29r	L11	38	g	V	H
f29r	L11	39	o	S	H
f29r	L12	0	dl	P	H
f29r	L12	1	rs	R	H
f29r	L12	2	H	I	H
f29r	L12	3	oi	E	H
f29r	L12	4	lam	A	H
f29r	L12	5	eh	D	H
f29r	L12	6	h	V	H
f29r	L12	7	oi	E	H
f29r	L12	8	rs	R	H
f29r	L12	9	m	T	H
f29r	L12	10	H	I	H
f29r	L12	11	Th	SS	M
f29r	L12	12	9	E	H
f29r	L12	13	Af	M	H
f29r	L12	14	q	E	M
f29r	L12	15	H	I	H
f29r	L12	16	oi	E	H
f29r	L12	17	yt	T	H
f29r	L12	18	n6	N	H
f29r	L12	19	c	L	H
f29r	L12	20	sl	E	H
f29r	L12	21	eh	D	H
f29r	L12	22	H	I	H
f29r	L12	23	5	C	H
f29r	L12	24	m	T	H
f29r	L12	26	2	S	H
f29r	L12	27	sl	E	H
f29r	L12	28	H	I	H
f29r	L12	29	g2	G	H
f29r	L12	30	n6	N	H
f29r	L12	31	oi	E	H
f29r	L12	32	g	V	H
f29r	L12	33	r3	R	H
f29r	L12	34	4t	ET	M
f29r	L12	35	m	T	H
f29r	L12	36	b	O	H
f29r	L12	37	g	V	H
f29r	L12	38	o	S	H
f29r	L13	0	x	A	H
f29r	L13	1	h	V	H
f29r	L13	2	c	L	H
f29r	L13	3	m	T	H
f29r	L13	4	r3	R	H
f29r	L13	5	oi	E	H
f29r	L13	6	o	S	H
f29r	L13	7	D	Q	H
f29r	L13	8	g	V	H
f29r	L13	9	oi	E	H
f29r	L13	10	c	L	H
f29r	L13	11	lam	A	H
f29r	L13	12	5	C	H
f29r	L13	13	q9	P	H
f29r	L13	14	b	O	H
f29r	L13	15	g	V	H
f29r	L13	16	2	S	H
f29r	L13	17	g	V	H
f29r	L13	18	oi	E	H
f29r	L13	19	n6	N	H
f29r	L13	20	5	C	H
f29r	L13	21	x	A	H
f29r	L13	22	2	S	H
f29r	L13	23	D	Q	H
f29r	L13	24	g	V	H
f29r	L13	25	oi	E	H
f29r	L13	26	c	L	H
f29r	L13	27	sl	E	H
f29r	L13	28	r3	R	H
f29r	L13	29	Tb	P	H
f29r	L13	30	zu	I	H
f29r	L13	31	h	V	H
f29r	L13	32	lt	O	H
f29r	L13	33	g	V	H
f29r	L13	34	c	L	H
f29r	L13	35	2	S	H
f29r	L13	36	H	I	H
f29r	L13	37	o	S	H
f29r	L13	38	m	T	H
f29r	L14	0	E	B	M
f29r	L14	1	lam	A	H
f29r	L14	2	h	V	H
f29r	L14	3	lt	O	H
f29r	L14	4	rs	R	H
f29r	L14	5	H	I	H
f29r	L14	6	2	S	H
f29r	L14	7	sl	E	H
f29r	L14	8	rs	R	H
f29r	L14	9	Hb	?	U
f29r	L14	10	2	S	H
f29r	L14	11	b	O	H
f29r	L14	12	H	I	H
f29r	L14	13	yt	T	H
f29r	L14	14	p	M	H
f29r	L14	15	oi	E	H
f29r	L14	16	n6	N	H
f29r	L14	17	9	E	H
f29r	L14	18	sq	X	H
f29r	L14	19	o	S	H
f29r	L14	20	sl	E	H
f29r	L14	21	5	C	H
f29r	L14	22	rs	R	H
f29r	L14	23	9	E	H
f29r	L14	24	m	T	H
f29r	L14	25	sl	E	H
f29r	L14	26	p	M	H
f29r	L14	27	III	?	U
f29r	L14	28	n6	N	H
f29r	L14	29	m	T	H
f29r	L14	31	zb	NULL	M
f29r	L14	32	ss2	NULL	M
f29r	L14	33	mx	NULL	H
f29r	L14	34	null_o	NULL	H
f29r	L14	35	lt?	O	M
f29r	L14	36	paren	NULL	H
