code	value	grade	source
k01	N	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 128,148,458,479, column by header pixel x-centre (legend.py)
k02	X	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 88,110,816,843, column by header pixel x-centre (legend.py)
k03	V	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 192,222,775,800, column by header pixel x-centre (legend.py)
k04	COM	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 369,396,8,32, column by header pixel x-centre (legend.py)
k05	V	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 118,152,773,792, column by header pixel x-centre (legend.py)
k06	V	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 156,190,767,799, column by header pixel x-centre (legend.py)
k07	L	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 88,117,359,397, column by header pixel x-centre (legend.py)
k08	NULL	H	Tomokiyo francisGramont.png, glyph bbox 33,60,602,627, column by header pixel x-centre (legend.py)
k09	RR	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 334,363,53,74, column by header pixel x-centre (legend.py)
k10	R	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 87,117,635,661, column by header pixel x-centre (legend.py)
k11	O	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 120,153,506,524, column by header pixel x-centre (legend.py)
k12	Q	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 87,114,589,618, column by header pixel x-centre (legend.py)
k13	O	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 154,186,504,521, column by header pixel x-centre (legend.py)
k14	?	H	Tomokiyo francisGramont.png, glyph bbox 221,247,156,183, column by header pixel x-centre (legend.py); Tomokiyo marks this "et?" (uncertain), left unassigned
k15	M	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 122,156,411,432, column by header pixel x-centre (legend.py)
k16	O	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 187,226,500,521, column by header pixel x-centre (legend.py)
k17	I	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 224,258,319,346, column by header pixel x-centre (legend.py)
k18	F	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 87,121,233,255, column by header pixel x-centre (legend.py)
k19	D	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 86,113,144,165, column by header pixel x-centre (legend.py)
k20	NULL	H	Tomokiyo francisGramont.png, glyph bbox 59,85,603,630, column by header pixel x-centre (legend.py)
k21	S	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 157,191,677,708, column by header pixel x-centre (legend.py)
k22	O	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 86,120,500,526, column by header pixel x-centre (legend.py)
k23	LL	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 335,366,3,32, column by header pixel x-centre (legend.py)
k24	S	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 92,115,685,705, column by header pixel x-centre (legend.py)
k25	ROY	H	Tomokiyo francisGramont.png, glyph bbox 214,251,210,238, column by header pixel x-centre (legend.py)
k26	N	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 86,118,457,480, column by header pixel x-centre (legend.py)
k27	V	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 82,116,770,790, column by header pixel x-centre (legend.py)
k28	PAPE	H	Tomokiyo francisGramont.png, glyph bbox 214,251,319,340, column by header pixel x-centre (legend.py)
k29	M	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 82,120,409,439, column by header pixel x-centre (legend.py)
k30	G	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 86,115,278,303, column by header pixel x-centre (legend.py)
k31	S	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 125,149,682,707, column by header pixel x-centre (legend.py)
k32	I	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 117,151,320,346, column by header pixel x-centre (legend.py)
k33	P	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 153,187,542,572, column by header pixel x-centre (legend.py)
k34	E	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 121,154,187,211, column by header pixel x-centre (legend.py)
k35	NULL	H	Tomokiyo francisGramont.png, glyph bbox 115,160,602,624, column by header pixel x-centre (legend.py)
k36	D	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 119,153,140,166, column by header pixel x-centre (legend.py)
k37	?	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 416,454,170,197, column by header pixel x-centre (legend.py); Lasry lists it as unknown
k38	P	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 85,112,541,574, column by header pixel x-centre (legend.py)
k39	A	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 121,150,2,34, column by header pixel x-centre (legend.py)
k40	V	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 229,254,768,799, column by header pixel x-centre (legend.py)
k41	Q	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 121,151,584,621, column by header pixel x-centre (legend.py)
