line	position	settled	passA	passB	basis
f30r_L01	2	FL	H	m	image: both passes differ
f30r_L01	3	xr	x	x	image: both passes differ
f30r_L01	4	zb	2	2	image: both passes differ
f30r_L01	6	r3	g	yt	image: both passes differ
f30r_L01	9	zb	2	z	image: both passes differ
f30r_L01	10	rs?	5	rs	image: agrees with pass B
f30r_L01	11	9	2	2	image: both passes differ
f30r_L01	12	lam?	lam	paren	image: agrees with pass A
f30r_L01	15	nr?	sl	-	image: both passes differ
f30r_L01	17	FL	H	m	image: both passes differ
f30r_L01	18	sl	sl	paren	image: agrees with pass A
f30r_L01	19	zb	2	2	image: both passes differ
f30r_L01	20	xr	lam	L2	image: both passes differ
f30r_L01	30	FL	FL	m	image: agrees with pass A
f30r_L01	31	eh	-	eh	image: agrees with pass B
f30r_L01	32	xr	-	x	image: both passes differ
f30r_L01	33	Af?	-	fh	image: both passes differ
f30r_L01	35	br	Tb	br	image: agrees with pass B
f30r_L02	0	[?]	-	-	image: both passes differ
f30r_L02	1	null_o	-	-	image: both passes differ
f30r_L02	2	nq?	-	-	image: both passes differ
f30r_L02	3	n	-	-	image: both passes differ
f30r_L02	5	TRI?	III	III	image: both passes differ
f30r_L02	9	zb	z	2	image: both passes differ
f30r_L02	12	z3?	D	-	image: both passes differ
f30r_L02	13	FL	H	-	image: both passes differ
f30r_L02	14	zb	z	-	image: both passes differ
f30r_L02	15	Mx?	Mx	-	image: agrees with pass A
f30r_L02	16	o?	-	9	image: both passes differ
f30r_L02	17	FL	-	m	image: both passes differ
f30r_L02	18	xr	-	x	image: both passes differ
f30r_L02	23	QQ	Tb	p	image: both passes differ
f30r_L02	24	9	2	9	image: agrees with pass B
f30r_L02	26	re?	lt	lt	image: both passes differ
f30r_L02	30	zb	D	z	image: both passes differ
f30r_L02	31	mx	n6	mx	image: agrees with pass B
f30r_L02	33	FL	H	m	image: both passes differ
f30r_L02	35	br	D	br	image: agrees with pass B
f30r_L02	36	zb?	5	-	image: both passes differ
f30r_L02	38	dl	A2	-	image: both passes differ
f30r_L02	39	r3	paren	-	image: both passes differ
f30r_L02	40	9	9	-	image: agrees with pass A
f30r_L03	6	br	D	br	image: agrees with pass B
f30r_L03	7	zb	2	2	image: both passes differ
f30r_L03	11	nq?	n6	n6	image: both passes differ
f30r_L03	12	n	2	2	image: both passes differ
f30r_L03	14	INF?	FL	n6	image: both passes differ
f30r_L03	15	rho	rho	paren	image: agrees with pass A
f30r_L03	16	z	-	-	image: both passes differ
f30r_L03	22	dl?	Af	Af	image: both passes differ
f30r_L03	23	br	D	br	image: agrees with pass B
f30r_L03	24	5	5	2	image: agrees with pass A
f30r_L03	27	ST	-	-	image: both passes differ
f30r_L03	30	CROSS?	-	Af	image: both passes differ
f30r_L03	31	r3	-	yt	image: both passes differ
f30r_L03	34	FL	-	-	image: both passes differ
f30r_L03	35	xr	xr	-	image: agrees with pass A
f30r_L03	36	lt?	-	-	image: both passes differ
f30r_L03	37	9	9	-	image: agrees with pass A
f30r_L04	0	nr	r3	r3	image: both passes differ
f30r_L04	2	FL	H	FL	image: agrees with pass B
f30r_L04	4	lt	lt	sl	image: agrees with pass A
f30r_L04	5	z3	zb	bb	image: both passes differ
f30r_L04	6	eh	eh	c	image: agrees with pass A
f30r_L04	7	dl	A2	lam	image: both passes differ
f30r_L04	10	bb?	D	bb	image: agrees with pass B
f30r_L04	11	Af?	fh	fh	image: both passes differ
f30r_L04	12	T	Th	T	image: agrees with pass B
f30r_L04	15	n6	-	d	image: both passes differ
f30r_L04	16	eh	-	eh	image: agrees with pass B
f30r_L04	18	r3	r3	yt	image: agrees with pass A
f30r_L04	19	zb	2	2	image: both passes differ
f30r_L04	22	nn?	n6	-	image: both passes differ
f30r_L04	25	r3	fh	yt	image: both passes differ
f30r_L04	27	aq?	Af	A2	image: both passes differ
f30r_L04	30	FL	H	FL	image: agrees with pass B
