row	codes
f30r_L01a	HASH ss2 FL xr zb Af r3 BOX ss2 zb z3 9 lam? 9 III nr?
f30r_L01b	ss2 FL sl zb xr h BOX ss2 g fh h 2 9 ss2 FL eh xr Af? III br 9 H?
f30r_L02a	INF null_o nq? n BOX TRI? III n6 paren zb 2 h z3? FL zb B8?
f30r_L02b	FL xr 2 fh m . QQ 9 ss2 re? lt g 2 zb mx BOX FL 5 br zb? . dl r3 9
f30r_L03a	c? BOX c x 2 Rt br zb ss2 eh 9 nq? n BOX INF? rho
f30r_L03b	z z3 5 m 2 dl dl? br 5 9 2 ST A2 . CROSS? r3 9 2 FL xr CROSS 9
f30r_L04a	nr III FL m lt z3 eh dl Rt h br Af? T m A2 n6 eh
f30r_L04b	9 r3 zb ss2 z nn? c m r3 h aq? HASH 9 FL dl III br z n6 eh B8? h 9
f30r_L05a	E z3? ss2 9 nr BOX n6 lam fh nr? xr nr eh dl lt g r3 ST
f30r_L05b	z bb? fh B8? h xr lt? m 9 fh III mx h Rt 4t? lam Mx z z3
f30r_L06a	bb? 9 2 xr c ss2 9 FL eh zb h br lam aq Sx sl?
f30r_L06b	h BOX c sl bb zb Af z HASH? rho? lam xr 5 m . ss2 eh Tb? 2 2 5 sl FL
f30r_L07a	fh z3 2 CROSS Rt . h br 2 zb mx HASH nq? n BOX n6 lt
f30r_L07b	ss2 g 2 n6? lam h A2 Rt nr 2 9 g ST III 2 q z r3 lt ll? 9 2
f30r_L08a	B8? m 9 n6 g BOX 2 sl nr Af? III 2 fh xr 5? eh sl 2 ST?
f30r_L08b	9 oi br BOX 2 paren n6 r3 z CROSS 2 lt Mx lam nr m B8 dl z br
f30r_L09a	ss2 9 nr 2 BOX Af E A2 9 zb HASH? h? Af? sl Rt aq z nr
f30r_L09b	m ST dl g2 r3 lam n6 fh 9 z Mx mx 9 5 m xr lt nr nq? h E?
f30r_L10a	z lam g rho A2 xr lt? eh q9? 9 xr? c Tb r3 9
f30r_L10b	n6 5 sl zb ss2 xr BOX n6 z aq g lt 2 c h rho z xr ll z3 br fh 9
f30r_L11a	ST 9 CROSS E lam xr Af? 9 br c sl FL? lt h 2
f30r_L11b	m . QQ? 9 c z n6 lt xr ev? ss2 B8? nq? zb h 9 ST bb g BOX
f30r_L12a	CROSS lz Tb? g 2 9 nq? n xr c ST 2 aq? ss2 mx
f30r_L12b	FL III Af? lt? c z 2 m . nq? h 9 n6 fh BOX g T xr 9 H
f30r_L13a	rho? z xr r3 9 lam h B8? eh? r3 z z3 br sl Tb r3 9
f30r_L13b	9 yt? III 5 m z nr eh 5 sl c lam . ss2 9 nr h lt g 2 zb bb Af 9
f30r_L14a	mx xr c sl 2 m . br z aq 2 lt nr HASH? c 9 n6 m
f30r_L14b	nr ss2 zb r3 III nr z n6 eh fh BOX 2 lt br . m 9 nq zb h xr c
f30r_L15a	dl mx 9 n6 FL III Sx g sl zb Af h Rt g
f30r_L15b	g? FL 9 2 m III 2 dl lt g br rho z xr r3 9 5 sl nq n z3 c
f30r_L16a	g lt n ST fh br z 4t n6 Rt nr lam h c m r3
f30r_L16b	r3? 9 z? dl? lt h 2 BOX nq lam n6 m z 5 sl B8? null_o ss2 nr z3 9 n6
f30r_L17a	h Rt g FL 2 h oi c ss2 xr 9 eh r3 BOX 2 lam?
f30r_L17b	lt g fh? zb E eh? 9 v sl nr m . aq? 2 z3 r3 9 nq n xr c h lt g 2
f30r_L18a	dl zb c lam aq 2 9 h Tb 2? c lt xr br 9
f30r_L18b	BOX n6 2 sl r3 Sx h 9 FL z3 ss2 h lt g 2 Tb Af Tb n6 2 m r3 9 H?
f30r_L19a	g lt 2? c Rt xr br lam g 5 h n6 9 Af sl n6 m
f30r_L19b	. lam aq Tb? 9 r3 lam g fh xr 5 m . 4t? Hb h Rt g 2
f30r_L20a	c sl dl 9 r3 Tb? sl H 9 n6 m xr 9 br sl Af
f30r_L20b	9 nr m Af lam z3 h lt g FL ss2 zb dl B8? Tb g h 9 4t?
f30r_L21a	q lam ss2 r3 c sl br 2 9 c Rt n6 CROSS 9 Sx h
f30r_L21b	h xr c fh BOX 2 z3 r3 9 Tb? 4t Af lam xr n6 m sl nr z3 br ss2
f30r_L22a	[?] 9 h ST rho? nq n sl? h Tb nr 2 FL sl
f30r_L22b	Af? E BOX br lam 2 lt g 2 dl sl h g 9 nr m . rho lam xr r3 9
f30r_L23a	2? BOX br h xr 5 sl ss2 zb HASH? Af 9 2 sl v E
f30r_L23b	E c 9 Sx h xr c n6 z3 lam xr nr bb h 9 nr TRI? A2 n6 m
f30r_L24a	dl h xr 2 xr? n 9? h n6 lam? ss2 zb 5 A2?
f30r_L24b	lam 2 lt? h nr h lt g FL lam 2 sl r3 h z3 HASH? h 2 nq n 9 2
f30r_L25a	ss2 nr? mx lam dl r3 9 2 sl nr m . QQ? 9 4t FL
f30r_L25b	sl Af E c lam lt? ST 9 2 BOX n6 B8? m r3 9 v sl 5 m 4t
f30r_L26a	z3 c 9 2 m . ss2 h r3 lam aq nq h 9 bb Af sl
f30r_L26b	sl m br A2 FL lam? h Af E c 9 2 h E FL? [?] 5 eh HASH
f30r_L27a	2 sl r3 h? xr m 9 h br zb null_o? nq n 9 z3 sl
f30r_L27b	B8? g lt h 2 FL g xr 2 z3 9 g Tb re? 2 ss2 Af? z3?
f30r_L28a	zb QQ? lt xr E 2 fh z3 r3 9 nq n sl xr 9 h
f30r_L28b	h lt g 2 fh Tb z3 lt? 2 QQ z3 r3 9 nq h 9 ss2 2 re? br c lam
f30r_L29a	rho lt aq? Sx n A2 xr 9 h lt n 2 fh Rt z3 E
f30r_L29b	2 xr sl g 9 Tb aq? c sl bb? lam . ll? 9 br zb ss2 9 n6
f30r_L30a	m Rt g eh sl 2 5 . lz lt g 2 9 FL nq n xr
f30r_L30b	h lt re 2 m lt g 5 . lz g nr m . fh sl 2 xr E lt n6 . dl xr 9 fh
f30r_L31a	nq re z3 c 9 FL m . z3 Af . dl lt T xr E
f30r_L31b	c 9 fh sl v z3 BOX sl? g eh ev h lt aq r3 9 xr g 2 nq n 9 2
f30r_L32a	lam 2 sl FL m br 9 xr lam fh 9 5 c z r3 9
f30r_L32b	nq re xr c h 9 n c m . lam ll sl ST 9 n6 lam g xr Mx? n6? lt nr
f30r_L33a	dl ss2 zb Tb g br r3 9 5 lt g h br? sl r3 CROSS
f30r_L33b	9 nq h A2 2 FL dl r3 9 fh sl 5 9 T A2 h br 2
f30r_L34a	zb INF ss2 aq lt n6 m . dl sl br fh h zb g n6
f30r_L34b	n6 Mx? B8? 5 lz lam 2 4t g nr nq n z3 ST 9 n6 eh sl nr fh
f30r_L35a	dl sl nr 2 9 nq n xr c q x r3 ST 9 QQ
f30r_L35b	sl c lam ss2 r3 9 dl h zb m z eh xr lt nr . 4t fh sl Af lam
f30v_L01a	INF? dl z br m . ss2 z3 9 5 r3 lt HASH nq n
f30v_L01b	xr c n6 lam z h 5 re nr 9 fh sl 2 ST z3 E sl br lam m z3 lt n6
f30v_L02a	zb QQ xr lam ll 9 br 2 z3 5 sl n6 BOX 2 m
f30v_L02b	Sx h sl ss2 ST z fh 9 5 c lam br z eh xr lt nr fh 9 c lam?
f30v_L03a	c xr E 9 br m 9 fh sl rho c lt r3 9 nr 5b sl
f30v_L03b	sl 2 lt xr m 9 nr h Tb H Af lam xr n6 2 4t ss2 2 xr c 9 2 nr
f30v_L04a	ss2 zb lam z3 n6 2 xr h lt g 2 dl Rt h
f30v_L04b	n 9 H bb? 2 xr fh 9 br BOX r3 2 xr h lt g 2 c sl Af 9 n6 BOX
f30v_L05a	sl 4t lam g lt zb g FL r3 9 dl c x z3 o xr
f30v_L05b	r3 4t h lt g 2 FL h oi c z3 9 m br 9 2 lz g Af E c
f30v_L06a	v 9 nr m 2 xr r3 sl ss2 zb v 9 h lt g c
f30v_L06b	lt? B8? H? r3 dl z br fh lt Mx? 9 br 2 xr? z3 9 h lt g c
f30v_L07a	sl nr fh z3 5 m 2 Af lt n6 lam fh h xr o
f30v_L07b	nq h xr 9 2 m . nq n 9 ST sl Af xr 9 h c A2 nq h sl?
f30v_L08a	g lt h 2 FL lam h r3 xr 9 H? rho lam z3 br
f30v_L08b	sl dl lt g r3 bb Af lam n6 fh 9 r3 lam bb? 9 2 m . lt h E xr
f30v_L09a	lam g Tb xr 4t? c z h z3 ll 9 4t? 4t c lam
f30v_L09b	ss2 zb rho lt r3 5 A2 sl nr m r3 sl h lt Zs? Af lam z3 n6 2
f30v_L10a	z h 9 A2 nq h 9 2 fh sl 5 c lam r3 z
f30v_L10b	m z3 . lt n6 fh 9 c lam ST xr E 9 r3 m sl lt h q xr 9 n6
f30v_L11a	zb ss2 dl x br 2 lt h E H Af lam z3 nr
f30v_L11b	fh Tb Mx lam nr m E lt Mx 9 2 dl z r3 lt ll 9 o x?
f30v_L12a	c z Af q lam T x fh 9 h br QQ g
f30v_L12b	bb? 4t lam g c yt r3 9 2 FL oi 2 v xr n6 z3 FL r3 9 2
f30v_L13a	Af lam xr n6 m sl nr xr rs c sl 2 Af xr m
f30v_L13b	H? Hb 5 lam br 2 z3 ss2 5? sl bb? c 9 FL lam
f30v_L14a	B8? dl lam br c sl v lt zu 9 n6 fh A2 br
f30v_L14b	4t nq h xr c 5 lt g2 n6 Tb xr T 9 nq n 9
f30v_L15a	h lt d 2 ST g zu lam aq? 9 Zs? bb m
f30v_L15b	br lam r3 x 9 x c 9 2 m lam 5 r3 lam H n6 fh rs? sl?
f30v_L16a	nq h A2 dl z br 5 xr ff? lam q r3
f30v_L16b	9 2 g lt n o n6 9 c lam aq sl 4t m z nr yt lam
f30v_L17a	h lt g 2 m r3 sl bb Af z n6 fh 9 v A2
f30v_L17b	nr m . eh? v 9 lam g sl H 9 h dl z r3? c sl dl lam T 9
f30v_L18a	4t nq h 9 n6 sl lam n6 m Af lt? xr nr 2
f30v_L18b	ss2 nq n xr c lam zu m v lam g c h lam aq 2 sl rho x n6
f30v_L19a	tb? z o zu? 9 fh sl 2 zb mx lam g
f30v_L19b	B8? c m r3 9 2 xr c 2 sl ss2 Mx? . sl 5 m 9 sl nr yt r3
f30v_L20a	HASH c sl g br 2 E br lam H dl z br
f30v_L20b	fh sl FL 9 2 dl Tb xr r3 zb n null_o nq? HASH
