sign	count	band	proposed	margin	second	order
n	26	n>=10	V	351.4	N	0
BOX	27	n>=10	E	123.6	I	1
re	7	5-9	V	68.6	N	2
A2	17	n>=10	E	67.8	I	3
III	14	n>=10	E	52.9	I	4
FL	35	n>=10	S	109.4	NULL	5
B8	13	n>=10	NULL	48.8	N	6
lz	5	5-9	H	31.3	L	7
ST	18	n>=10	L	24.7	NULL	8
QQ	8	5-9	D	16.5	NULL	9
Mx	12	n>=10	L	12.5	N	10
Sx	7	5-9	Q	11.0	I	11
Zs	2	2-4	S	8.8	I	12
Hb	4	2-4	E	8.1	A	13
INF	3	2-4	NULL	7.3	L	14
v	11	n>=10	M	5.4	L	15
TRI	2	2-4	I	5.1	S	16
HASH	13	n>=10	I	4.8	NULL	17
ev	2	2-4	E	2.7	N	18
CROSS	4	2-4	C	2.0	L	19
