briefnr	date	direction	correspondent	place	archive_bronnen_codes	cipher_extent	solution_status	printed_edition_named	pdf_url	already_nominated
53	24-10-1561	to	August van Saksen (Sachsen)	Breda	KHAG ; SAD	partly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/00000-00999/00053.pdf	yes
57	18-11-1561	from	August van Saksen (Sachsen)	Torgau	DNOK ; HHSAWB ; KHAG ; SAD	partly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/00000-00999/00057.pdf	yes
58	31-12-1561	to	August van Saksen (Sachsen)	Breda	KHAG ; SAD	unspecified	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/00000-00999/00058.pdf	no
74	13-8-1562	to	August van Saksen (Sachsen)	Brussel (Bruxelles)	BVAN ; KHAG ; SAD	unspecified	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/00000-00999/00074.pdf	yes
98	13-3-1563	to	August van Saksen (Sachsen)	Brussel (Bruxelles)	KHAG ; SAD	partly	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/00000-00999/00098.pdf	yes
124	16-4-1564	to	August van Saksen (Sachsen)	Brussel (Bruxelles)	DNOK ; GPA ; HHSAWB ; KHAG ; SAD	unspecified	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/00000-00999/00124.pdf	no
126	16-9-1564	to	August van Saksen (Sachsen)	Brussel (Bruxelles)	KHAG ; SAD	partly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/00000-00999/00126.pdf	yes
153	1-9-1566	to	August van Saksen (Sachsen)	Antwerpen (Anvers)	SAD	partly	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/00000-00999/00153.pdf	yes
174	9-4-1567	to	Willem van Hessen	Antwerpen (Anvers)	GPA ; HHSAWB ; HSAM ; KHAG ; SAD	mainly	solved on leaf		https://resources.huygens.knaw.nl/media/wvo/images/00000-00999/00174.pdf	no
175	9-4-1567	to	August van Saksen (Sachsen)	Antwerpen (Anvers)	DNOK ; HHSAWB ; KHAG ; SAD	partly	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/00000-00999/00175.pdf	yes
424	2-5-1579	to	Philippe de Croij, hertog van Aerschot	Antwerpen (Anvers)	AAP ; AAV ; AGSV ; GCGT ; HSADU ; HSAM ; RNPC	unspecified	solved on leaf	Gachard	https://resources.huygens.knaw.nl/media/wvo/images/00000-00999/00424.pdf	no
1069	23-3-1563	from	Willem van Hessen	Marburg	HSAM ; KHAG	partly	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/01000-01999/01069.pdf	no
1109	18-9-1564	to	Willem van Hessen	Brussel (Bruxelles)	HSAM	partly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/01000-01999/01109.pdf	yes
1127	28-1-1567	from	Willem van Hessen	Kassel	HSAM ; KHAG	partly	unsolved		https://resources.huygens.knaw.nl/media/wvo/images/01000-01999/01127.pdf	yes
4494	15-4-1573	to	Lodewijk van Nassau	Delft	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04494.pdf	no
4495	8-5-1573	to	Lodewijk van Nassau	Delft	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04495.pdf	no
4496	1-4-1573	to	Lodewijk van Nassau		GPA ; KHAG	partly	solved on leaf	Groen van Prinsterer	https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04496.pdf	no
4497	17-6-1573	to	Lodewijk van Nassau	Leiden	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04497.pdf	no
4498	22-7-1573	to	Lodewijk van Nassau	Delft	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer)	Groen van Prinsterer	https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04498.pdf	no
4499	10-8-1573	to	Lodewijk van Nassau	Dordrecht	GB ; GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04499.pdf	no
4502	23-11-1573	to	Lodewijk van Nassau	Delft	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04502.pdf	no
4503	15-4-1574	to	Lodewijk van Nassau	Gorinchem	GPA ; KHAG	partly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04503.pdf	no
4610	3-6-1573	from	Lodewijk van Nassau		KHAG	mainly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04610.pdf	yes
4611	2-7-1573	from	Lodewijk van Nassau		KHAG	mainly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04611.pdf	yes
4612	6-3-1574	from	Lodewijk van Nassau	Meer	KHAG	mainly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04612.pdf	yes
4613	25-3-1574	from	Lodewijk van Nassau	Cartilz	KHAG	mainly	solved on leaf		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04613.pdf	yes
4614	4-4-1574	from	Lodewijk van Nassau	Cartilz	GPAS ; KHAG	mainly	solved on leaf		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04614.pdf	no
4615	7-4-1574	from	Lodewijk van Nassau	Cartilz	KHAG	mainly	solved on leaf		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04615.pdf	yes
4616	12-4-1574	from	Lodewijk van Nassau	Weeze	KHAG	mainly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/04000-04999/04616.pdf	yes
5033	19-5-1575	from	Jan van Nassau	Dillenburg	KHAG	unspecified	solved elsewhere (Groen van Prinsterer)	Groen van Prinsterer	https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05033.pdf	no
5109	24-3-1561	to	Günther van Schwarzburg	Brussel (Bruxelles)	JC ; KHAG ; SAR	partly	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05109.pdf	no
5194	24-6-1572	to	Lodewijk van Nassau	Frankfurt am Main	GPA ; KHAG	partly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05194.pdf	no
5198	21-9-1572	to	Jan van Nassau	Mechelen (Malines)	GPA ; KHAG ; NAC	partly	solved on leaf	Nepveu tot Ameyde	https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05198.pdf	no
5199	24-9-1572	to	Jan van Nassau	Geel	GPA ; KHAG ; NAC	mainly	solved on leaf	Groen van Prinsterer;Nepveu tot Ameyde	https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05199.pdf	no
5200	18-10-1572	to	Jan van Nassau	Zwolle	GPA ; KHAG	mainly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05200.pdf	no
5201	8-3-1573	to	Lodewijk van Nassau	Delft	GPA ; KHAG	mainly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05201.pdf	no
5204	22-4-1574	to	Jan van Nassau	Zaltbommel	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05204.pdf	no
5205	28-4-1574	to	Jan van Nassau	Dordrecht	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05205.pdf	no
5207	23-5-1574	to	Jan van Nassau	Gorinchem	GPA ; KHAG	mainly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05207.pdf	no
5208	7-6-1574	to	Jan van Nassau	Rotterdam	GPA ; KHAG	mainly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05208.pdf	no
5209	24-6-1574	to	Jan van Nassau	Rotterdam	GPA ; KHAG	mainly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05209.pdf	no
5210	7-9-1574	to	Jan van Nassau	Rotterdam	GPA ; KHAG	mainly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05210.pdf	no
5213	26-11-1574	to	Jan van Nassau	Delft	GPA ; KHAG	mainly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05213.pdf	no
5214	25-12-1574	to	Jan van Nassau	Middelburg	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05214.pdf	no
5218	4-3-1575	to	Jan van Nassau	Dordrecht	GPA ; KHAG	partly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05218.pdf	no
5219	21-3-1575	to	Jan van Nassau	Dordrecht	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05219.pdf	no
5221	30-7-1575	to	Jan van Nassau	Dordrecht	GPA ; KHAG	partly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05221.pdf	no
5222	29-9-1575	to	Jan van Nassau	Dordrecht	GPA ; KHAG	partly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05222.pdf	no
5224	11-11-1575	to	Jan van Nassau	Rotterdam	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05224.pdf	no
5227	4-2-1576	to	Jan van Nassau	Rotterdam	GPA ; KHAG	mainly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05227.pdf	no
5228	4-4-1576	to	Jan van Nassau	Delft	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05228.pdf	no
5549	21-11-1573	from	Jan van Nassau	Dillenburg	GPAS ; KHAG	partly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05549.pdf	no
5550	25-12-1573	from	Jan van Nassau	Dillenburg	GPAS ; KHAG	unspecified	solved elsewhere (Groen van Prinsterer, Archives, aanvullende reeks (GPAS, unresolved abbreviation))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05550.pdf	no
5551	17-4-1574	from	Jan van Nassau	Keulen (Köln)	KHAG	lines	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05551.pdf	yes
5552	21-4-1574	from	Jan van Nassau	Wesel (Wezel)	KHAG	partly	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05552.pdf	no
5557	31-5-1574	from	Jan van Nassau	Dillenburg	GPAS ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives, aanvullende reeks (GPAS, unresolved abbreviation))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05557.pdf	no
5561	9-5-1576	from	Jan van Nassau	Dillenburg	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05561.pdf	no
5564	11-1-1577	from	Jan van Nassau	Siegen	GPA ; KHAG	unspecified	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05564.pdf	yes
5575	31-7-1574	from	Jan van Nassau	Dillenburg	KHAG	partly	solved on leaf		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05575.pdf	no
5797	22-10-1573	from	Lodewijk van Nassau	Dillenburg	GPA ; KHAG	partly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05797.pdf	no
