line	pos	sign	conf	atoms
f27_L02	1	=Ma	M	1
f27_L02	2	=^te	M	2
f27_L02	3	λ	M	3
f27_L02	4	pi	M	4,5
f27_L02	5	g	M	6
f27_L02	6	tt	M	7,8
f27_L02	7	o	M	9
f27_L02	8	j	M	10
f27_L02	9	b	L	11
f27_L02	10	v	M	12
f27_L02	11	z	L	13
f27_L02	12	4	L	14
f27_L02	13	g	M	15
f27_L02	14	t	M	16
f27_L02	15	c	M	17
f27_L02	16	f	M	18
f27_L02	17	8	L	19
f27_L02	18	///	M	20
f27_L02	19	f	M	21
f27_L02	20	y	M	22
f27_L02	21	p	L	23
f27_L02	22	v	M	24
f27_L02	23	ſo	M	25,26
f27_L02	24	oo	L	27
f27_L02	25	to	M	28,29
f27_L02	26	g	L	30
f27_L02	27	g	M	31
f27_L02	28	t	M	32
f27_L02	29	h	L	33
f27_L02	30	v	M	34
f27_L02	31	c	M	35
f27_L02	32	m	L	36
f27_L02	33	///	L	37
f27_L02	34	ſ	M	38
f27_L02	35	∂	L	39
f27_L02	36	o	M	40
f27_L02	37	20	L	41
f27_L02	38	oo	M	42,43
f27_L02	39	ß	M	44
f27_L02	40	i	L	45
f27_L02	41	∂	L	46
f27_L02	42	v	M	47
f27_L02	43	∂	L	48
f27_L02	44	3	L	49
f27_L02	45	8	M	50
f27_L02	46	⊡	L	51
f27_L02	47	to	M	52,53
f27_L02	48	c	M	54
f27_L02	49	m	M	55
f27_L02	50	E	L	56
f27_L02	51	y	M	57
f27_L03	1	8+	M	1,2
f27_L03	2	i	M	3
f27_L03	3	g	M	4
f27_L03	4	t	M	5
f27_L03	5	4	L	6
f27_L03	6	f	M	7
f27_L03	7	p'	M	8
f27_L03	8	j	M	10
f27_L03	9	g	M	11
f27_L03	10	i	M	12
f27_L03	11	v	L	13
f27_L03	12	∂	L	14
f27_L03	13	oo	L	15
f27_L03	14	b	L	16
f27_L03	15	g	M	17
f27_L03	16	π	L	18
f27_L03	17	c	L	19
f27_L03	18	r	L	20
f27_L03	19	4	L	21
f27_L03	20	u	L	22
f27_L03	21	c	M	23
f27_L03	22	b	L	24
f27_L03	23	pi	M	25,26
f27_L03	24	//	L	27
f27_L03	25	∂	L	28
f27_L03	26	f	M	29
f27_L03	27	#	M	30
f27_L03	28	g	L	31
f27_L03	29	E	M	32
f27_L03	30	8	M	33
f27_L03	31	u	L	34
f27_L03	32	∂	L	35
f27_L03	33	+	M	36
f27_L03	34	p	L	37
f27_L03	35	∂	L	38
f27_L03	36	3	L	39
f27_L03	37	ſ	M	40
f27_L03	38	⊡	L	42
f27_L03	39	π	M	43
f27_L03	40	oo	M	44
f27_L03	41	∂	L	45
f27_L03	42	f	M	46
f27_L03	43	4	M	47
f27_L03	44	b	L	48
f27_L03	45	y	M	49
f27_L03	46	o	M	50
f27_L03	47	t	L	51
f27_L03	48	T	L	52
f27_L03	49	i	M	53
f27_L03	50	∂	M	54
f27_L03	51	‡	L	55
f27_L03	52	//	L	56
f27_L03	53	v	L	57
f27_L03	54	o	M	58
f27_L03	55	c	M	59
f27_L03	56	#	M	60
f27_L03	57	ß	M	61
f27_L03	58	f	M	62
f27_L04	1	∂	L	1
f27_L04	2	c	L	2
f27_L04	3	m	L	3
f27_L04	4	b	M	4
f27_L04	5	u	M	5
f27_L04	6	v	L	6
f27_L04	7	g	M	7
f27_L04	8	to	M	8,9
f27_L04	9	g	M	10
f27_L04	10	z	L	11
f27_L04	11	4	L	12
f27_L04	12	g	M	13
f27_L04	13	o	M	14
f27_L04	14	8	L	15
f27_L04	15	f	L	16
f27_L04	16	pi	M	17,18
f27_L04	17	j	M	19
f27_L04	18	h	M	20
f27_L04	19	96	M	21,22
f27_L04	20	#	L	23
f27_L04	21	∂	L	24
f27_L04	22	g	M	25
f27_L04	23	λ	M	26
f27_L04	24	f	M	27
f27_L04	25	√	L	28
f27_L04	26	o	M	29
f27_L04	27	=	M	30
f27_L04	28	u	L	31
f27_L04	29	x	M	32
f27_L04	30	⊥	M	33
f27_L04	31	//	L	34
f27_L04	32	f	M	35
f27_L04	33	r	L	36
f27_L04	34	g	M	37
f27_L04	35	i	M	38
f27_L04	36	∂	L	39
f27_L04	37	oo	L	40
