line	pos	sign	conf
f27_L02	1	=Ma	M
f27_L02	2	=^te	M
f27_L02	3	λ	M
f27_L02	4	p	L
f27_L02	5	i	M
f27_L02	6	g	M
f27_L02	7	t	M
f27_L02	8	t	L
f27_L02	9	o	M
f27_L02	10	j	M
f27_L02	11	b	L
f27_L02	12	v	M
f27_L02	13	z	L
f27_L02	14	4	L
f27_L02	15	g	M
f27_L02	16	t	M
f27_L02	17	c	M
f27_L02	18	f	M
f27_L02	19	8	L
f27_L02	20	///	M
f27_L02	21	f	M
f27_L02	22	y	M
f27_L02	23	p	L
f27_L02	24	v	M
f27_L02	25	ſ	M
f27_L02	26	o	L
f27_L02	27	∞	L
f27_L02	28	t	L
f27_L02	29	o	M
f27_L02	30	g	L
f27_L02	31	g	M
f27_L02	32	t	M
f27_L02	33	h	L
f27_L02	34	v	M
f27_L02	35	c	M
f27_L02	36	m	L
f27_L02	37	///	L
f27_L02	38	ſ	M
f27_L02	39	∂	L
f27_L02	40	o	M
f27_L02	41	20	L
f27_L02	42	o	L
f27_L02	43	o	L
f27_L02	44	ß	M
f27_L02	45	i	L
f27_L02	46	∂	L
f27_L02	47	v	M
f27_L02	48	∂	L
f27_L02	49	3	L
f27_L02	50	8	M
f27_L02	51	⊡	L
f27_L02	52	t	M
f27_L02	53	o	M
f27_L02	54	c	M
f27_L02	55	m	M
f27_L02	56	E	L
f27_L02	57	y	M
f27_L03	1	8	L
f27_L03	2	+	M
f27_L03	3	i	M
f27_L03	4	g	M
f27_L03	5	t	M
f27_L03	6	4	L
f27_L03	7	f	M
f27_L03	8	p	L
f27_L03	9	^	L
f27_L03	10	j	M
f27_L03	11	g	M
f27_L03	12	i	M
f27_L03	13	v	L
f27_L03	14	∂	L
f27_L03	15	∞	L
f27_L03	16	b	L
f27_L03	17	g	M
f27_L03	18	π	L
f27_L03	19	c	L
f27_L03	20	r	L
f27_L03	21	4	L
f27_L03	22	u	L
f27_L03	23	c	M
f27_L03	24	b	L
f27_L03	25	p	L
f27_L03	26	i	M
f27_L03	27	//	L
f27_L03	28	∂	L
f27_L03	29	f	M
f27_L03	30	#	M
f27_L03	31	g	L
f27_L03	32	E	M
f27_L03	33	8	M
f27_L03	34	u	L
f27_L03	35	∂	L
f27_L03	36	+	M
f27_L03	37	p	L
f27_L03	38	∂	L
f27_L03	39	3	L
f27_L03	40	ſ	L
f27_L03	41	^	L
f27_L03	42	⊡	L
f27_L03	43	π	M
f27_L03	44	∞	M
f27_L03	45	∂	L
f27_L03	46	f	M
f27_L03	47	4	M
f27_L03	48	b	L
f27_L03	49	y	M
f27_L03	50	o	M
f27_L03	51	t	L
f27_L03	52	T	L
f27_L03	53	i	M
f27_L03	54	∂	M
f27_L03	55	‡	L
f27_L03	56	//	L
f27_L03	57	v	L
f27_L03	58	o	M
f27_L03	59	c	M
f27_L03	60	#	M
f27_L03	61	ß	M
f27_L03	62	f	M
f27_L04	1	∂	L
f27_L04	2	c	L
f27_L04	3	m	L
f27_L04	4	b	M
f27_L04	5	u	M
f27_L04	6	v	L
f27_L04	7	g	M
f27_L04	8	t	M
f27_L04	9	o	M
f27_L04	10	g	M
f27_L04	11	z	L
f27_L04	12	4	L
f27_L04	13	g	M
f27_L04	14	o	M
f27_L04	15	8	L
f27_L04	16	f	L
f27_L04	17	p	L
