line	pos	sign	conf	value	grade
f27_L02	3	λ	M	la	M
f27_L02	4	pi	M	que	M
f27_L02	5	g	M	de	M
f27_L02	6	tt	M	po	M
f27_L02	7	o	M	a	M
f27_L02	8	j	M	?	U
f27_L02	9	b	L	s	M
f27_L02	10	v	M	li	M
f27_L02	11	z	L	?	U
f27_L02	12	4	L	x	M
f27_L02	13	g	M	de	M
f27_L02	14	t	M	ru	M
f27_L02	15	c	M	s	M
f27_L02	16	f	M	e	M
f27_L02	17	8	L	t	M
f27_L02	18	///	M	r	M
f27_L02	19	f	M	e	M
f27_L02	20	y	M	s|ve	M
f27_L02	21	p	L	da	M
f27_L02	22	v	M	li	M
f27_L02	23	ſo	M	NULL	M
f27_L02	24	oo	L	b	M
f27_L02	25	to	M	i	M
f27_L02	26	g	L	de	M
f27_L02	27	g	M	de	M
f27_L02	28	t	M	ru	M
f27_L02	29	h	L	?	U
f27_L02	30	v	M	li	M
f27_L02	31	c	M	s	M
f27_L02	32	m	L	m	M
f27_L02	33	///	L	r	M
f27_L02	34	ſ	M	m	M
f27_L02	35	∂	L	a	M
f27_L02	36	o	M	a	M
f27_L02	37	20	L	u	M
f27_L02	38	oo	M	b	M
f27_L02	39	ß	M	n	M
f27_L02	40	i	L	?	U
f27_L02	41	∂	L	a	M
f27_L02	42	v	M	li	M
f27_L02	43	∂	L	a	M
f27_L02	44	3	L	ri	M
f27_L02	45	8	M	t	M
f27_L02	46	⊡	L	?	U
f27_L02	47	to	M	i	M
f27_L02	48	c	M	s	M
f27_L02	49	m	M	m	M
f27_L02	50	E	L	re	M
f27_L02	51	y	M	s|ve	M
f27_L03	1	8+	M	tous	M
f27_L03	2	i	M	?	U
f27_L03	3	g	M	de	M
f27_L03	4	t	M	ru	M
f27_L03	5	4	L	x	M
f27_L03	6	f	M	e	M
f27_L03	7	p'	M	fault	M
f27_L03	8	j	M	?	U
f27_L03	9	g	M	de	M
f27_L03	10	i	M	?	U
f27_L03	11	v	L	li	M
f27_L03	12	∂	L	a	M
f27_L03	13	oo	L	b	M
f27_L03	14	b	L	s	M
f27_L03	15	g	M	de	M
f27_L03	16	π	L	o	M
f27_L03	17	c	L	s	M
f27_L03	18	r	L	s	M
f27_L03	19	4	L	x	M
f27_L03	20	u	L	?	U
f27_L03	21	c	M	s	M
f27_L03	22	b	L	s	M
f27_L03	23	pi	M	que	M
f27_L03	24	//	L	c	M
f27_L03	25	∂	L	a	M
f27_L03	26	f	M	e	M
f27_L03	27	#	M	?	U
f27_L03	28	g	L	de	M
f27_L03	29	E	M	re	M
f27_L03	30	8	M	t	M
f27_L03	31	u	L	?	U
f27_L03	32	∂	L	a	M
f27_L03	33	+	M	nostre	M
f27_L03	34	p	L	da	M
f27_L03	35	∂	L	a	M
f27_L03	36	3	L	ri	M
f27_L03	37	ſ	M	m	M
f27_L03	38	⊡	L	?	U
f27_L03	39	π	M	o	M
f27_L03	40	oo	M	b	M
f27_L03	41	∂	L	a	M
f27_L03	42	f	M	e	M
f27_L03	43	4	M	x	M
f27_L03	44	b	L	s	M
f27_L03	45	y	M	s|ve	M
f27_L03	46	o	M	a	M
f27_L03	47	t	L	ru	M
f27_L03	48	T	L	n	M
f27_L03	49	i	M	?	U
f27_L03	50	∂	M	a	M
f27_L03	51	‡	L	i	M
f27_L03	52	//	L	c	M
f27_L03	53	v	L	li	M
f27_L03	54	o	M	a	M
f27_L03	55	c	M	s	M
f27_L03	56	#	M	?	U
f27_L03	57	ß	M	n	M
f27_L03	58	f	M	e	M
f27_L04	1	∂	L	a	M
f27_L04	2	c	L	s	M
f27_L04	3	m	L	m	M
f27_L04	4	b	M	s	M
f27_L04	5	u	M	?	U
f27_L04	6	v	L	li	M
f27_L04	7	g	M	de	M
f27_L04	8	to	M	i	M
f27_L04	9	g	M	de	M
f27_L04	10	z	L	?	U
f27_L04	11	4	L	x	M
f27_L04	12	g	M	de	M
f27_L04	13	o	M	a	M
f27_L04	14	8	L	t	M
f27_L04	15	f	L	e	M
f27_L04	16	pi	M	que	M
f27_L04	17	j	M	?	U
f27_L04	18	h	M	?	U
f27_L04	19	96	M	chose	M
f27_L04	20	#	L	?	U
f27_L04	21	∂	L	a	M
f27_L04	22	g	M	de	M
f27_L04	23	λ	M	la	M
f27_L04	24	f	M	e	M
f27_L04	25	√	L	?	U
f27_L04	26	o	M	a	M
f27_L04	27	=	M	d	M
f27_L04	28	u	L	?	U
f27_L04	29	x	M	a|d	M
f27_L04	30	⊥	M	n	M
f27_L04	31	//	L	c	M
f27_L04	32	f	M	e	M
f27_L04	33	r	L	s	M
f27_L04	34	g	M	de	M
f27_L04	35	i	M	?	U
f27_L04	36	∂	L	a	M
f27_L04	37	oo	L	b	M
f27_L04	38	b	L	s	M
f27_L04	39	g	M	de	M
f27_L04	40	t	L	ru	M
f27_L04	41	cc	M	car	M
f27_L04	42	m	L	m	M
f27_L04	43	u	L	?	U
f27_L04	44	‡	L	i	M
f27_L04	45	X	L	o	M
f27_L04	46	j	M	?	U
f27_L04	47	s'	M	en	M
f27_L04	48	λ	M	la	M
f27_L04	49	g	M	de	M
f27_L04	50	z	L	?	U
f27_L04	51	3	L	ri	M
f27_L04	52	u	L	?	U
f27_L05	1	c	M	s	M
f27_L05	2	b	L	s	M
f27_L05	3	y	M	s|ve	M
f27_L05	4	o	M	a	M
f27_L05	5	T	L	n	M
f27_L05	6	i	M	?	U
f27_L05	7	∂	L	a	M
f27_L05	8	=	M	d	M
f27_L05	9	v	M	li	M
f27_L05	10	∂	L	a	M
f27_L05	11	ſ	M	m	M
f27_L05	12	8	M	t	M
f27_L05	13	f	M	e	M
f27_L05	14	//	L	c	M
f27_L05	15	3	L	ri	M
f27_L05	16	o	M	a	M
f27_L05	17	v	M	li	M
f27_L05	18	to	M	i	M
f27_L05	19	b	L	s	M
f27_L05	20	g	M	de	M
f27_L05	21	∂	L	a	M
f27_L05	22	λ	M	la	M
f27_L05	23	//	M	c	M
f27_L05	24	π	M	o	M
f27_L05	25	ſo	M	NULL	M
f27_L05	26	o	M	a	M
f27_L05	27	8	M	t	M
f27_L05	28	///	M	r	M
f27_L05	29	f	M	e	M
f27_L05	30	X	L	o	M
f27_L05	31	h	M	?	U
f27_L05	32	ß	M	n	M
f27_L05	33	f	M	e	M
f27_L05	34	λ	M	la	M
f27_L05	35	u	L	?	U
f27_L05	36	///	M	r	M
f27_L05	37	f	M	e	M
f27_L05	38	F	L	Armes	M
f27_L05	39	∂	M	a	M
f27_L05	40	#	M	?	U
f27_L05	41	//	L	c	M
f27_L05	42	f	M	e	M
f27_L05	43	o	M	a	M
f27_L05	44	1	L	n	M
f27_L05	45	14	L	b	M
f27_L05	46	to	M	i	M
f27_L05	47	r	M	s	M
f27_L05	48	to	M	i	M
f27_L05	49	p	L	da	M
f27_L05	50	∂	L	a	M
f27_L05	51	b	M	s	M
f27_L05	52	s'	M	en	M
f27_L06	1	g	M	de	M
f27_L06	2	//	M	c	M
f27_L06	3	∂	L	a	M
f27_L06	4	f	M	e	M
f27_L06	5	#	L	?	U
f27_L06	6	s'	M	en	M
f27_L06	7	λ	M	la	M
f27_L06	8	pi	M	que	M
f27_L06	9	to	M	i	M
f27_L06	10	h	M	?	U
f27_L06	11	#	L	?	U
f27_L06	12	i	M	?	U
