book_nr	name	slug	chapters	raw_utf8_bytes	sha1	letters_after_fold	file
1	Pradžia	pradzia	50	170493	6ddba6244936a15d5be8538617c7ccd5c201f1d1	125641	01_pradzia.txt.gz
2	Išėjimas	isejimas	40	136446	0d0c591c45c087f0d183d08f9d331ed0b705556d	102198	02_isejimas.txt.gz
3	Levitas	levitas	27	91133	30d31bfd00a5f20599529be125508e5b12d1a6e1	69029	03_levitas.txt.gz
4	Skaičiai	skaiciai	36	128411	1b0c710e90733fbb7f41400148e3393c16f3800f	96533	04_skaiciai.txt.gz
5	Pakartotinė Įstatymo	pakartotine_istatymo	34	113395	755fcb2576725cdfe5a0186530e9a3e081fbbda3	84925	05_pakartotine_istatymo.txt.gz
6	Jozuė	jozue	24	76788	201b5f34857cd974f35a3463649c59570f5c167a	57490	06_jozue.txt.gz
7	Teisėjai	teisejai	21	80171	2ec85aa74159f76d854fda3d422f22513b376e3a	59768	07_teisejai.txt.gz
8	Rūta	ruta	4	10813	9ca4b66306a01dd4886f27ae7ac370c437612aa6	7861	08_ruta.txt.gz
9	1 Samuelis	1_samuelis	31	111016	5c31a2022c1f054668e471c4fd1402affb5ad7c0	82307	09_1_samuelis.txt.gz
10	2 Samuelis	2_samuelis	24	90720	9d79280a06599b661da3972dfca61d1dd683d9bf	67490	10_2_samuelis.txt.gz
11	1 Karaliai	1_karaliai	22	107932	5f20fc5b95afb398315671fcf927b3f6e4bb093c	81100	11_1_karaliai.txt.gz
12	2 Karaliai	2_karaliai	25	103207	71ee321a3e5ba4609e722822436d7e5f528c2979	77418	12_2_karaliai.txt.gz
13	1 Kronikos	1_kronikos	29	93260	9b259a1bb215527ef35c6e79a4779e770e54a82d	70306	13_1_kronikos.txt.gz
14	2 Kronikos	2_kronikos	36	117633	c85e29ad8f0f8a9a4dfab69fadd330a04cacfb12	89709	14_2_kronikos.txt.gz
15	Ezdras	ezdras	10	32970	53809199f866bd7e0bbc982070e86bc2fb369712	25035	15_ezdras.txt.gz
16	Nehemijas	nehemijas	13	46975	30847be21eb6cce326931fc48bf68b273c0454f7	35577	16_nehemijas.txt.gz
17	Ester	ester	10	24599	6217dec28310430a4ebcec685047b310fafb98a9	18752	17_ester.txt.gz
18	Jobas	jobas	42	79566	2544525cc8b9fcfd3a0172f080ca2e5698ea86d0	59663	18_jobas.txt.gz
19	Psalmynas	psalmynas	150	197625	589e92fe7e51f52dcb8b22d2b7a22840798a9692	149087	19_psalmynas.txt.gz
20	Patarlės	patarles	31	69457	5df8f2f33574ae21b01ec43344a59ae83b22fe38	53235	20_patarles.txt.gz
21	Ekleziastas	ekleziastas	12	23379	8e485783dfba89c06f2ccc89ad612365d75f1840	17602	21_ekleziastas.txt.gz
22	Giesmių giesmė	giesmiu_giesme	8	12397	61ec15dfa2243449afa12a9fc642272448324019	9400	22_giesmiu_giesme.txt.gz
23	Izaijas	izaijas	66	157964	823f86edcf1c2c2e9ad7c174daf1b1085b6a8023	118544	23_izaijas.txt.gz
24	Jeremijas	jeremijas	52	177609	40dca46ee40fe7a7ad365c3b5c490f951b34dc8c	132734	24_jeremijas.txt.gz
25	Raudos	raudos	5	14585	c2472c4f1ef44f4859dc176db97a6ff17ee07be2	11071	25_raudos.txt.gz
26	Ezechielis	ezechielis	48	155353	5e6b9b1c43f08ca25008ed998b7c75844f8fe09c	116003	26_ezechielis.txt.gz
27	Danielius	danielius	12	52158	24694b359ea3403b21c2c6456f6c9ba702c961cd	39431	27_danielius.txt.gz
28	Ozejas	ozejas	14	22820	c6b855ce5563ade42809c043d05d63a7db86de86	17077	28_ozejas.txt.gz
