line	sign	truth
r013	6	o
r031	115	l
r031	81	e
r031	20	q
r031	86	f
r031	21	r
r031	82	e
r031	22	r
r031	83	e
r031	27	s
r031	84	e
r031	31	t
r031	117	m
r031	6	o
r031	81	e
r034	7	o
r034	71	c
r034	73	c
r034	36	u
r034	11	p
r034	13	p
r034	75	c
r034	56	z
r034	16	q
r034	38	u
r034	101	i
r034	111	l
r034	2	n
r034	1	n
r034	8	o
r034	80	d
r034	28	s
r036	12	p
r036	9	o
r036	30	s
r036	26	s
r036	102	i
r036	66	b
r036	114	l
r036	82	e
r036	80	d
r036	88	f
r044	6	o
r060	74	c
r060	27	s
r060	72	c
r060	23	r
r060	103	i
r060	14	p
r060	34	t
r062	20	q
r062	25	r
r062	105	i
r062	3	n
r062	75	c
r062	85	e
r062	30	s
r064	29	s
r064	9	o
r064	115	l
r064	111	l
r064	104	i
r064	74	c
r064	102	i
r064	82	e
r064	82	e
r065	28	s
r065	84	e
r065	120	m
r065	15	p
r065	112	l
r065	8	o
r065	53	y
r065	83	e
r065	23	r
r066	25	r
r066	65	a
r066	11	p
r066	63	a
r066	101	i
r066	26	s
r066	81	e
r066	21	r
r068	80	d
r068	40	u
r068	14	p
r068	84	e
r068	104	i
r068	27	s
r068	70	b
r068	55	y
r068	29	s
r069	5	n
r069	63	a
r069	39	u
r069	9	o
r069	103	i
r069	31	t
r069	14	p
r069	65	a
r069	30	s
r074	51	y
r074	26	s
r074	34	t
r074	64	a
r074	4	n
r074	33	t
r074	14	p
r074	64	a
r074	26	s
r074	24	r
r074	84	e
r074	29	s
r074	39	u
r074	104	i
r074	29	s
r075	85	e
r075	114	l
r075	81	e
r075	74	c
r075	33	t
r075	82	e
r075	36	u
r075	25	r
r075	26	s
r082	64	a
r082	39	u
r082	73	c
r082	38	u
r082	5	n
r082	84	e
r082	30	s
r082	74	c
r084	78	d
r084	101	i
r084	21	r
r084	104	i
r084	9	o
r084	4	n
r084	27	s
r090	73	c
r090	6	o
r090	2	n
r090	78	d
r090	103	i
r090	32	t
r090	101	i
r090	7	o
r090	3	n
r090	28	s
r093	15	p
r093	25	r
r093	10	o
r093	14	p
r093	9	o
r093	29	s
r093	82	e
r093	85	e
r093	30	s
r100	112	l
r100	51	y
r100	1	n
r100	83	e
r100	91	g
r100	6	o
r100	32	t
r100	103	i
r100	63	a
r100	33	t
r100	104	i
r100	10	o
r100	5	n
r100	120	m
r101	40	u
r101	24	r
r101	64	a
r101	39	u
r101	65	a
r101	101	i
r101	111	l
r101	118	m
r101	85	e
r112	29	s
r112	9	o
r112	115	l
r112	105	i
r112	75	c
r112	104	i
r112	85	e
r112	65	a
r112	5	n
r112	34	t
r112	28	s
r112	64	a
r112	4	n
r112	27	s
r115	113	l
r115	84	e
r115	28	s
r115	82	e
r115	111	l
r115	81	e
r115	71	c
r115	31	t
r115	84	e
r115	39	u
r115	23	r
r115	29	s
r118	14	p
r118	24	r
r118	8	o
r118	13	p
r118	7	o
r118	27	s
r118	85	e
r118	36	u
r118	2	n
r118	81	e
r118	72	c
r118	6	o
r118	2	n
r118	37	u
r118	7	o
r118	73	c
r118	61	a
r118	32	t
r118	102	i
r118	8	o
r118	4	n
r119	75	c
r119	10	o
r119	5	n
r119	29	s
r119	82	e
r119	102	i
r119	112	l
r119	114	l
r119	85	e
r119	25	r
r119	25	r
r120	83	e
r120	113	l
r120	84	e
r120	73	c
r120	35	t
r120	85	e
r120	40	u
r120	22	r
r120	28	s
r121	11	p
r121	21	r
r121	101	i
r121	1	n
r121	71	c
r121	81	e
r121	25	r
r125	16	q
r125	37	u
r125	81	e
r125	114	l
r125	17	q
r125	38	u
r125	83	e
r125	29	s
r125	75	c
r125	10	o
r125	5	n
r125	76	d
r125	101	i
r125	71	c
r125	103	i
r125	9	o
r125	4	n
r125	29	s
r137	6	o
r137	40	u
r137	4	n
r137	76	d
r137	81	e
r137	117	m
r137	82	e
r137	28	s
r137	86	f
r137	21	r
r137	81	e
r137	23	r
r137	83	e
r137	29	s
r137	30	s
r137	55	y
r137	35	t
r137	25	r
r137	10	o
r137	37	u
r137	40	u
r137	85	e
r138	1	n
r138	82	e
r138	73	c
r138	83	e
r138	27	s
r138	30	s
r138	101	i
r138	31	t
r138	84	e
r139	14	p
r139	85	e
r139	39	u
r139	24	r
r139	78	d
r139	9	o
r139	4	n
r139	35	t
r139	25	r
r139	65	a
r139	101	i
r139	4	n
r139	31	t
r139	103	i
r139	12	p
r139	21	r
r139	105	i
r139	1	n
r139	74	c
r139	84	e
r139	28	s
r139	38	u
r146	13	p
r146	10	o
r146	37	u
r146	26	s
r146	29	s
r146	81	e
r146	56	z
r146	77	d
r146	61	a
r146	85	e
r146	90	f
r146	85	e
r146	73	c
r146	33	t
r146	103	i
r146	9	o
r149	15	p
r149	10	o
r149	26	s
r149	35	t
r149	85	e
r149	5	n
r149	34	t
r149	90	f
r149	24	r
r149	84	e
r149	95	g
r149	9	o
r149	36	u
r149	26	s
r149	81	e
r151	21	r
r151	82	e
r151	33	t
r151	7	o
r151	37	u
r151	23	r
r157	60	z
r157	12	p
r157	8	o
r157	24	r
r157	32	t
r157	84	e
r157	94	g
r157	23	r
r157	64	a
r157	4	n
