canvas	line	idx	token
20	1	1	6
20	1	2	25
20	1	3	ee
20	1	4	11
20	1	5	83
20	1	6	v
20	1	7	44
20	1	8	w'
20	1	9	85
20	1	10	d
20	1	11	fi
20	2	1	42
20	2	2	gt
20	2	3	m
20	2	4	d
20	2	5	36
20	2	6	θ
20	2	7	83
20	2	8	56
20	2	9	13
20	2	10	21
20	2	11	o
20	2	12	y
20	2	13	49
20	2	14	21
20	2	15	32
20	2	16	cv
20	2	17	θ
20	3	1	63
20	3	2	68
20	4	1	32
20	4	2	25
20	4	3	v
20	4	4	mo
20	4	5	14
20	4	6	h'
20	4	7	ll
20	4	8	35
20	4	9	d
20	4	10	45
20	4	11	z
20	4	12	11
20	4	13	v
20	5	1	h
20	6	1	42
20	6	2	56
20	6	3	99
20	6	4	d
20	6	5	c
20	6	6	θ
20	6	7	43
20	6	8	gt
20	6	9	ll
20	6	10	42
20	6	11	3
20	6	12	72
20	6	13	49
20	6	14	v
20	7	1	31
20	7	2	6
20	7	3	h
20	8	1	83
20	8	2	46
20	8	3	25
20	8	4	y
20	8	5	cn
20	8	6	10
20	8	7	31
20	8	8	11
20	8	9	to
20	8	10	41
20	8	11	38
20	8	12	mt
20	8	13	I
20	8	14	35
20	9	1	31
20	9	2	13
20	9	3	h
20	9	4	11
20	9	5	v
20	9	6	y
20	9	7	q
20	9	8	81
20	9	9	11
20	10	1	42
20	10	2	y
20	10	3	87
20	10	4	ll
20	10	5	n
20	10	6	ll
20	10	7	26
20	10	8	37
20	10	9	6
20	11	1	25
20	11	2	ee
20	11	3	11
20	11	4	y
20	11	5	ee
20	11	6	16
20	11	7	v
20	11	8	31
20	11	9	25
20	11	10	y
20	11	11	d
20	11	12	gt
20	11	13	78
20	12	1	41
20	12	2	35
20	12	3	25
20	12	4	v
20	12	5	100
20	12	6	h
20	12	7	46
20	12	8	ll
20	12	9	g
21	1	1	y
21	1	2	d
21	1	3	18
21	1	4	d
21	1	5	h
21	1	6	v
21	1	7	z
21	1	8	26
21	1	9	47
21	1	10	cn
21	1	11	43
21	1	12	d
21	1	13	10
21	1	14	93
21	1	15	z
21	1	16	32
21	1	17	y
21	1	18	w'
21	1	19	h
21	1	20	y
21	2	1	d
21	2	2	o
21	2	3	46
21	2	4	35
21	2	5	5
21	2	6	z
21	2	7	23
21	2	8	21
21	2	9	gt
21	2	10	52
21	2	11	m
21	2	12	L
21	2	13	y
21	2	14	35
21	2	15	25
21	3	1	5
21	3	2	75
21	3	3	d
21	3	4	ll
21	3	5	42
21	3	6	48
21	3	7	f
21	3	8	nt
21	3	9	4
21	4	1	6
21	4	2	47
21	4	3	ee
21	4	4	y
21	4	5	cn
21	4	6	11
21	4	7	36
21	4	8	58
21	4	9	83
21	4	10	41
21	4	11	36
21	4	12	41
21	4	13	ee
21	4	14	36
21	4	15	y
21	4	16	82
21	4	17	h
21	4	18	h'
21	4	19	z
21	4	20	v
21	4	21	d
21	4	22	f
