code	value	grade	count	canvases	note
&		M	2	20	no gloss observed near this occurrence
6	Je parle des Suedois | par les armes que par un accommodement (spans line25-26)	M	3	20	conflicting/multiple nearby glosses, listed
I		M	1	20	no gloss observed near this occurrence
d		M	5	20	no gloss observed near this occurrence
e		M	1	20	no gloss observed near this occurrence
g		M	1	20	no gloss observed near this occurrence
h		M	3	20	no gloss observed near this occurrence
m		M	1	20	no gloss observed near this occurrence
q		M	2	20	no gloss observed near this occurrence
v		M	7	20	no gloss observed near this occurrence
y		M	6	20	no gloss observed near this occurrence
z		M	3	20	no gloss observed near this occurrence
10		M	1	20	no gloss observed near this occurrence
11	s'il fault perir (cross-marked)	M	7	20	single observation, gloss is a nearby phrase-level annotation, not a confirmed word-for-word equivalence
13		M	1	20	no gloss observed near this occurrence
14		M	1	20	no gloss observed near this occurrence
16		M	1	20	no gloss observed near this occurrence
21		M	2	20	no gloss observed near this occurrence
25	sera pas honteux	M	6	20	single observation, gloss is a nearby phrase-level annotation, not a confirmed word-for-word equivalence
26		M	1	20	no gloss observed near this occurrence
31	de ceste part la que le traite se rompra	M	4	20	single observation, gloss is a nearby phrase-level annotation, not a confirmed word-for-word equivalence
32	fy	M	2	20	single observation, gloss is a nearby phrase-level annotation, not a confirmed word-for-word equivalence
35		M	3	20	no gloss observed near this occurrence
36		M	1	20	no gloss observed near this occurrence
37		M	1	20	no gloss observed near this occurrence
38		M	1	20	no gloss observed near this occurrence
41		M	2	20	no gloss observed near this occurrence
42	leur place; ilz sont; abatuz	M	4	20	single observation, gloss is a nearby phrase-level annotation, not a confirmed word-for-word equivalence
43		M	2	20	no gloss observed near this occurrence
44		M	1	20	no gloss observed near this occurrence
45		M	1	20	no gloss observed near this occurrence
46		M	2	20	no gloss observed near this occurrence
49		M	2	20	no gloss observed near this occurrence
56		M	2	20	no gloss observed near this occurrence
63	pour les Dannois qui; pas plus traitables	M	1	20	single observation, gloss is a nearby phrase-level annotation, not a confirmed word-for-word equivalence
68		M	1	20	no gloss observed near this occurrence
70		M	1	20	no gloss observed near this occurrence
72		M	1	20	no gloss observed near this occurrence
78		M	1	20	no gloss observed near this occurrence
81	s'il fault perir (cross-marked)	M	1	20	single observation, gloss is a nearby phrase-level annotation, not a confirmed word-for-word equivalence
83	que l'on les [symbol] accule	M	3	20	single observation, gloss is a nearby phrase-level annotation, not a confirmed word-for-word equivalence
85		M	1	20	no gloss observed near this occurrence
87		M	1	20	no gloss observed near this occurrence
99		M	1	20	no gloss observed near this occurrence
9o		M	1	20	no gloss observed near this occurrence
c'		M	1	20	no gloss observed near this occurrence
cn		M	1	20	no gloss observed near this occurrence
ee		M	2	20	no gloss observed near this occurrence
el		M	2	20	no gloss observed near this occurrence
gt		M	3	20	no gloss observed near this occurrence
h'		M	1	20	no gloss observed near this occurrence
i"		M	1	20	no gloss observed near this occurrence
ll		M	1	20	no gloss observed near this occurrence
m+		M	1	20	no gloss observed near this occurrence
m°		M	1	20	no gloss observed near this occurrence
th		M	3	20	no gloss observed near this occurrence
w'		M	1	20	no gloss observed near this occurrence
zz		M	1	20	no gloss observed near this occurrence
100		M	1	20	no gloss observed near this occurrence
