canvas	a_pos	a_token	b_pos	b_token	kind	note
20	3	zz	3	ee	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	11	z	11	fi	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	13	e			A-only (B missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	18	th	17	θ	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	21	43	20	13	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	23	9o	22	o	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	28	c'	27	cv	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	29	th	28	θ	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	35	m°	34	mo	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	38	el	37	ll	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	42	g	41	z	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20			44	h	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	49	i"	49	c	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	50	th	50	θ	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	53	el	53	ll	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	55	z	55	3	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	70	70	70	to	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	73	m+	73	mt	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	88	&	88	ll	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	89	11	89	n	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	98	z			A-only (B missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	115	&	114	ll	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
20	116	q	115	g	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	7	yz	7	z	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	15	5e	15	z	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	17	7	17	y	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	20	8	20	y	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	22	h'	22	o	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	26	56	26	z	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			27	23	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	30	w'	31	m	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			35	25	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	41	uf	43	nt	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	42	43	44	4	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	45	re	47	ee	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	47	d	49	cn	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	48	ll	50	11	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	50	59	52	58	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	55	re	57	ee	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	58	y2	60	82	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	61	y6	63	z	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			66	f	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	67	h'	70	z	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	68	23	71	83	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
