cipher_line	anchor	plain_found	dist
04614_p1_L01_a	pourluydiremonsieurvousnepourriezcroirelegrandcontentementquetoutelacompagnieaeudentendretouteslesparticularitesdelestatdevosaffairespar	monseigneurvousnescauriezcroirelegrandcontentementquetoutelacompaignieateudentendretouteslesparticularitezdevozaffairespar	29
04614_p1_L01_c	etetdautantplusquinousarenducertainesduprouffitquenousfaisoitcourirque	etcedaultantplusquilnousarenducertainsdubruictquiavoitdesjacouruque	23
04614_p1_L06_b	defaconquejepereque	defaconquejespereque	1
04614_p1_L10_b	commeilfaisoitenveritequejeconfessequejentrouuepasaussiquepuisestre	comeilfaultenveritequejeconfessejentrouvepasaussyquepuisestre	10
04614_p2_L01_a	carainsiavons	parainsiavons	1
04614_p2_L06_b	autantserarequisquenousaionsquelque	aultantserarequisquenousayonsquelque	2
04614_p2_L08_a	nouspromes	noussommes	3
04614_p2_L08_d	commenousavonsbiendemoyen	comenousavionsbienlemoien	4
04614_p2_L09_d	moiscomme	maiscome	2
04614_p3_L01_b	pourcequele	pourcequele	0
04614_p3_L02_d	etainsiaucontrairepour	etaussiaucontraire	6
04614_p3_L03_b	nousavons	nousavions	1
04614_p3_L08_d	etcesfaire	etlesfaire	1
04614_p3_L09_d	jevouspriequenouspuissionsavoirbientostdevousnouvellesparceferoitsafinpriantletoutpuissantdevousdonnermonsieurlasainteestbonvieuxlongissefaitaucampdecartierle	jevoussuppliequenouspuissionsavoirbientostdevoznouvellessurcefereylafinpriantletoutpuissantdevousdonnermonsrlasanteetannevielonguefaictaucampdecartilsle	28
04614_p3_L10_c	jourdavrillan	jourdavrilan	1
