code	value_4614	grade	occurrences	key_full	vs_key_full	key_5799	vs_key_5799
1	n	H	20	n	agree		new code
2	n	H	41	n	agree		new code
3	n	H	17	n	agree		new code
4	n	H	14	n	agree		new code
5	n	H	15	n	agree		new code
6	o	H	30	o	agree		new code
7	o	H	17	o	agree		new code
8	o	H	16	o	agree		new code
9	o	H	25	o	agree		new code
10	o	H	31	o	agree	a	conflict
11	p	H	3	p	agree		new code
12	p	H	17	p	agree		new code
13	p	H	9	p	agree		new code
14	p	H	6	p	agree		new code
15	p	H	5	p	agree	y	conflict
16	q	H	9	q	agree		new code
17	q	H	6	q	agree		new code
18	q	M	4	q	agree		new code
19	q	H	2	q	agree		new code
20	q	M	7	q	agree		new code
21	r	H	50	r	agree	l	conflict
22	r	H	27	r	agree	u	conflict
23	r	H	18	r	agree	NULL	conflict
24	r	H	18	r	agree	e	conflict
25	r	H	14	r	agree	c	conflict
26	s	H	43	s	agree	i	conflict
27	s	H	31	s	agree	r	conflict
28	s	H	24	s	agree	NULL	conflict
29	s	H	19	s	agree	t	conflict
30	s	H	23	s	agree	i	conflict
31	t	H	52	t	agree		new code
32	t	H	24	t	agree	u	conflict
33	t	H	21	t	agree		new code
34	t	H	10	t	agree	s	conflict
35	t	H	9	t	agree	t	agree
36	u	H	32	u	agree		new code
37	u	H	24	u	agree	s	conflict
38	u	H	13	u	agree	e	conflict
39	u	H	23	u	agree	a	conflict
40	u	H	57	u	agree		new code
46	x	H	2	x	agree	o	conflict
51	y	H	2	y	agree		new code
52	y	H	4	y	agree	i	agree
53	y	M	1	y	agree	r	conflict
56	z	H	4	z	agree	o	conflict
57	x	M	1	z	conflict	i	conflict
60	z	H	2	z	agree	NULL	conflict
61	a	H	45	a	agree	e	conflict
62	a	H	24	a	agree	m	conflict
63	a	H	22	a	agree		new code
64	a	H	14	a	agree	s	conflict
65	a	H	18	a	agree	m	conflict
66	b	H	3	b	agree	l	conflict
67	b	H	6	b	agree	t	conflict
68	b	M	1	b	agree		new code
69	b	H	2	b	agree	p	conflict
70	u	H	5	b	conflict		new code
71	c	M	17	c	agree		new code
72	c	H	18	c	agree		new code
73	c	H	6	c	agree		new code
74	c	H	4	c	agree		new code
75	c	H	7	c	agree		new code
76	d	H	20	d	agree		new code
77	d	H	22	d	agree	o	conflict
78	d	H	5	d	agree	r	conflict
79	d	H	6	d	agree	n	conflict
80	d	M	7	d	agree	s	conflict
81	e	H	75	e	agree		new code
82	e	H	75	e	agree		new code
83	e	H	33	e	agree		new code
84	e	H	36	e	agree		new code
85	e	H	39	e	agree		new code
86	f	H	9	f	agree	e	conflict
87	e	M	8	f	conflict		new code
88	f	H	3	f	agree		new code
89	s	M	1	f	conflict		new code
90	f	M	7	f	agree	a	conflict
91	g	H	10	g	agree		new code
92	g	M	4	g	agree		new code
93	g	M	1	g	agree		new code
94	g	H	4	g	agree	e	conflict
96	h	M	11	h	agree	l	conflict
97	h	H	3	h	agree	a	conflict
98	h	H	2	h	agree	m	conflict
100	g	M	3	h	conflict	e	conflict
101	i	H	31	i	agree	n	conflict
102	i	H	30	i	agree	NULL	conflict
103	i	H	16	i	agree	l	conflict
104	i	H	13	i	agree		new code
105	i	H	13	i	agree	c	conflict
107	i	M	2	k	conflict	d	conflict
111	l	H	35	l	agree		new code
112	l	H	25	l	agree		new code
113	l	H	12	l	agree		new code
114	l	H	13	l	agree		new code
115	l	H	10	l	agree		new code
116	m	H	6	m	agree	u	conflict
117	m	H	10	m	agree	l	conflict
118	m	H	12	m	agree	t	conflict
119	m	H	2	m	agree	e	conflict
120	m	H	12	m	agree	n	conflict
121	NULL	H	3	NULL	agree		new code
122	NULL	H	3	NULL	agree		new code
123	NULL	M	1	l	conflict	NULL	agree
126	antaige	M	1	NULL	conflict	e	conflict
127	gm	M	3	NULL	conflict	n	conflict
129	m	M	1	NULL	conflict	p	conflict
131	NULL	H	5	NULL	agree		new code
132	devozaffaires	M	2	NULL	conflict	m	conflict
142	NULL	H	2		new code		new code
150	NULL	M	1		new code		new code
172	lecontejean	M	1		new code		new code
192	i	M	1	roidespagne	conflict		new code
217	srgeertruydenb	M	1		new code		new code
221	hollan	M	1	hollande	conflict		new code
289	rancfort	M	1		new code		new code
337	reystres	M	1	reystres	agree		new code
