plain_line	plain_raw	cipher_line	cipher_raw
05801_p1_L01	le prince dorange ses frres les comtes jean et louis de nassau affaires de haerlem ncessit dun prompt secours ngociations avec le roi de france messieurs mes frres jay receu vos lettres dates lune de dillenberg le et lautre de bedbur le du prsent pour vous respondre sur lesquells par ensemble ne sauroye assez vous remercier du bon debvoir que faites pour nous assister et secourir la povre	05801_p1_L02	Messieurs mes freres Jay recue vos trois derniers l'une de Dillenberg le xvi e l'autre de  le xx du present Pour vous respondre sur ycelles par ensemble 126 132 140 52 71 37 49 56 82 139 125 62 26 28 82 59 84 37 28 67 97 29 8 82 26 15 9 2 140 126 126 142 62 16 103 77 27 132 195 59 39 25 139 190 126 1 6 76 27 125 132 140 61 27 30 102 28 31 21 121 140 82 32 126 132 72 71 7 901 68 22 145 126 131 133 126 59 39 22 89
05801_p1_L02	car oncques je natendu les plus vostre bonne affection envers moy que vostre entier zle quavez ceste cause commune qui touche la chrestiennet vous avez sans doubte particulirement entendu par mes trois prcdentes lune du lautre du et lautre du du courrant la causse qui me meut et contraint de vous sohciter si instamment que veuills adviser et employer tous moyens possibles pour la delivrance de harlem assavoir quelle est tellement et de si prez serre de lennemi quil est fort craindre que si ne la secourrons de bref nous tomberons entre grans incouvniens lequel polroyt attirer nostre totale ruyne non pas tant pour limportance de la ville en soymesme comme en partie pour la perte de tant de gens de bien que soldats que bourgeois et	05801_p1_L06	84 312 12 223 129 132 150 121 6 21 77 27 129 7 2 72 82 26 126 125 132 145 32 52 27 Bonne 3 14 37 78 125 134 122 14 9 132 12 112 78 28 89 28 34 57 9 2 9 82 125 22 30 132 126 49 60 82 139 126 90 10 26 52 81 195 126 83 3 78 89 172 97 115 81 61 20 82 59 126 50 71 28 77 6 38 29 89 126 132 142 125 85 1250 32 8 38 77 125 132 91 126 75 100 82 28 78 15 2 77 125 132 Vous aurez sans doubte par [illeg. cursive word] entendu et l'autre du 17 [illeg] avant la copye qui 4 117 102 8 31 82 22 73 103 2 27 33 65 120 47 3 32 132 190 85 84 103 4 5 102 79 85 83 22 85 35 82 119 12 111 9 103 82 29 124 79 37 27 172 190 109 82 27 30 73 67 113 82 27 pour la 125 132 126 asseurance 12 43 36 21 82 3 7 129 132 12 223 145 Harlem 71 37 8 105 25 82 113 113 82 125 12 77 13 25 82 26 72 22 67 84 125 132 85 28 32 132 126 19 21 39 132 126 62 72 21 82 102 3 80 21 81 129 132 145 52 125 91 132 145 72 72 7 37 69 3 29 54 37 28 132 145 126 79 120 68 81 84 3 26 125 5 29 101 2 75 8 3 61 31 78 22 81 24 59 26 31 22 83 125 192 32 78 111 119 89 70 102 pour 132 125 141 121 43 116 50 22 150 124 78 71 82 76 91 Ville 81 2 74 59 116 82 22 120 83 9 117 118 81 152 145 126 117 62 57 21 32 83 76 81 76 3 76 77 81 132 22 2 30 62 4 37 21 22 6 102 80 125 132
05801_p1_L06	pour la deffiance de service que cela amnera aux autres villes dautant que asseurment ilz en jugeront ainsy puisque ayant eu tans et loysir souhait navons peu secourir harlem qui se porte si vaillamment et a si	05801_p1_L08	11 7 37 22 112 62 132 30 81 85 87 102 62 4 7 76 81 27 82 30 5 102 29 62 173 145 7 112 61 116 82 2 82 66 52 36 91 132 145 62 90 62 24 82 28 195 131 Daultant que affermes jugerent ainsi 126 60 102 27 82 81 55 55 2 32 30 190 190 81 39 124 7 29 132 190 99 103 73 25 132 141 129 63 79 57 97 91 103 37 133 126 63 84 2 28 12 82 36 139 125 29 89 132 140 124 79 35 33 51 41 331 82 30 112 53 92 82 117 82 4 9 38 132 78 25 Harlem 63 72 19 9 29 82 82 27 101 81 101 119 112 30 101 69 118 120 61 3 77 152 190 129
05801_p1_L08	soutenu la guerre au grand soulagement de tout le rest du pais certes ce sera doncques en vain que les autres villes attendront nostre secours aprs que aurons receu si grande perte et que lennemy sera ainsy renforc en	05801_p2_L02	30 101 124 132 74 38 112 63 92 82 87 28 32 81 15 311 81 101 119 112 64 118 120 7 3 37 152 190 124 92 34 63 3 29 129 79 35 33 82 55 41 231 62 92 76 4 76 132 74 38 112 63 92 82 117 82 4 33 77 81 79 38 34 112 87 28 32 81 15 311 vous en pourdez vous que 132 195 129 1573 May 28 72 26 132 61 37 32 27 81 90 Ville 312 27 132 195 121 62 32 35 82 3 76 79 4 35 54 28 33 22 81 29 82 71 8 38 4 30 apres que 132 129 126 81 37 24 7 3 27 152 22 82 7 77 132 126 28 102 132 92 68 3 77 82 139 37 22 33 83 85 79 82 138 125 72 2 9 85 98 27 84 88 ainsi 132 87 9 179 16 24 71 82 231 131 149
05801_p2_L02	e la faulte dargent et de crdit entre gens de guerre puisque ne leur avons tenu le premier paiement nous oste les moyens de le faire cependant nous trouvons icy par conseil quil les faut entretenir en esprance de bref secours qui doibt venir de a	05801_p2_L04	139 126 132 62 135 65 85 39 32 83 132 128 135 argent 330 82 34 78 84 79 23 84 83 53 132 192 82 9 32 23 82 22 3 27 42 331 que 80 102 30 82 guere 82 72 40 22 132 85 84 2 28 32 82 2 39 113 81 42 87 78 82 25 107 83 47 3 39 59 90 27 7 30 31 84 92 27 132 140 40 55 81 2 26 12 92 86 61 101 22 82 132 195 7 132 195 57 2 132 11 3 32 125 126 54 70 30 132 190 92 24 7 37 39 6 9 27 105 72 52 132 126 131 54 24 132 9 5 27 81 102 113 129 63 111 112 83 26 132 87 62 38 34 82 9 32 29 81 82 85 53 24 132 88 22 81 87 72 132 125 9 39 23 26 83 19 105 32 82 2 103 22 76 81
05801_p2_L04	ne faisant nul doubte que si dieu nous faict la grce de dlivrer ceste ville nous trouverons moyen de recouvrer par an la somme de neuf cent mille florins	05801_p2_L05	201 139 126 131 Ne faisant mal double pour si droit avoir fait la guerre du 129 131 121 80 84 112 101 38 87 23 71 81 26 33 Ville 82 312 54 40 30 35 69 37 82 22 7 2 9 49 59 83 5 19 87 71 7 37 39 23 82 25 56 29 62 2 132 71 132 195 74 120 116 82 78 85 52 37 88 7 4 34 117 120 146 82 88 44 58 9 28 132 145
05801_p2_L05	satisfaire ceux qui nous secourreront et ont secourru l ou si au contraire si nous la perdons ny aura certes plus despoir de furnir grand argent et si nous servira de bien peu si	05801_p2_L06	132 145 127 182 71 132 195 78 29 132 16 101 23 83 132 195 62 72 83 39 50 53 132 144 54 70 50 28 81 9 39 29 82 69 3 34 9 9 35 29 83 9 39 24 70 124 41 7 37 73 63 40 9 2 32 88 103 23 84 59 39 29 134 126 121 40 134 127 132 55 29 74 4 27 53 69 39 23 69 64 142 12 95 20 195 12 26 11 8 102 29 12 86 38 23 53 29 93 66 4 77 65 29 22 3 34 Et si nous pouons 191 126 129 76 81 67 102 84 3 131 190 13 8 40 190
05801_p2_L06	aprs nous poulroit venir or quant aux conditions soubs lequelles on polroit traiter avec les gens de guerre je seroye dadvis densuivre le mesme pied et conditions que avons suivie en la bestallung de la premire guerre sur quoi les etats du pays de holland prometteront et sobligeront que les dictes gens de guerre ne sortiront du pays sans estre ou payez ou assurez leur contentement que sil ne vueillent se contenter des conditions de la premire bestallung faudra ensuyvre le pied de celle de la dernire guerre et pour tout faut	05801_p3_L02	41 335 83 50 22 132 195 61 113 23 81 27 54 90 26 59 112 89 101 32 37 81 53 25 125 132 199 Ou quant aine condition pourres fournir 129 82 132 82 73 82 112 82 27 22 3 27 12 81 331 124 140 126 La prosper d'aduis de 130 121 82 2 75 55 53 39 87 112 82 118 83 29 72 58 81 80 132 81 32 9 4 78 102 78 8 5 27 82 82 40 7 9 28 130 75 55 37 54 85 5 139 91 2 27 31 82 112 115 90 3 92 77 81 91 14 27 81 48 82 29 85 331 Ou quoy 129 132 119 82 29 134 125 83 30 31 69 34 29 15 311 12 221 13 25 9 17 31 35 25 7 9 32 82 36 vu 70 67 113 103 22 22 10 5 32 92 28 13 32 82 24 22 2 30 120 331 1 82 74 22 32 102 79 2 34 13 311 26 62 3 28 82 27 34 87 9 140 56 53 82 60 7 39 19 26 72 38 23 82 51 132 190 82 132 42 39 27 132 7 32 84 87 103 117 47 2 54 que 59 132 191 126 129 172 60 83 61 102 112 92 9 34 72 9 2 32 82 5 39 85 24 126 129 150 58 9 5 77 105 78 8 3 30 de la 142 129 127 3 67 78 82 84 1 132 67 82 20 32 82 112 115 30 7 79 15 87 78 82 2 75 53 38 87 113 82 30 83 79 77 85 7 113 111 82 12 91 12 22 9 105 81 24 82 331
05801_p3_L02	avecques eus quilz namnent nulx chariots pour estre impossible de les faire passer par les rivires et autres passages nantmoins seront les etats contens chasque douzaine de chevaux donner autant comme silx avoyent leur chariots et chasque sixaine come sils avoyent leur charettes et le reste en suivant la dite dernire bestallung quant au passage je ne voy nul autre plus commode que celuy que vous monsieur le conte louis de nassau dsignez en vostre lettre savoir auprs tiel et jay desj pour cest effet dpesch steintzel vers l affin que le plus secrtement que faire se poulra il recognoistre la place et face apprester les pontons au reste il sera du tout ncessaire de mener linfanterie avec la	05801_p3_L07	72 7 2 32 22 91 73 34 81 25 125 132 61 35 81 74 20 40 81 50 82 31 50 18 30 102 112 20 31 120 82 12 2 34 55 115 20 72 97 64 22 102 82 34 54 132 197 que leur impossible du fils 87 62 101 22 82 56 27 26 81 29 55 24 112 82 29 25 101 83 81 25 81 29 83 74 62 51 33 37 28 59 26 30 65 85 85 27 127 132 140 Continuant 132 72 22 1 55 42 28 83 28 32 63 34 30 72 3 77 3 28 140 126 137 61 71 26 27 82 14 37 57 83 102 3 83 12 72 27 81 37 50 14 2 5 81 22 82 39 34 62 2 32 9 116 117 81 26 102 111 50 81 50 7 55 84 2 33 113 83 38 23 72 126 58 8 55 140 121 75 26 30 172 82 27 103 50 63 102 3 84 9 120 82 30 102 112 95 54 38 7 52 83 9 72 132 140 112 82 38 25 80 26 87 33 35 81 190 132 121 124 12 22 2 105 81 25 81 132 140 86 82 28 32 73 112 115 37 3 84 132 140 121 137 148 150 121 81 3 32 61 30 12 83 27 30 85 72 83 102 82 2 82 5 89 54 2 39 112 62 34 52 23 82 113 49 37 28 72 8 118 120 8 12 62 7 112 40 53 132 140 82 84 37 30 173 96 82 28 102 83 2 83 58 132 81 2 141 84 27 32 21 82 112 83 32 35 29 82 61 26 30 82 37 7 102 22 84 70 12 85 26 76 83 113 140 131 124 29 34 83 102 3 28 82 115 132 38 83 23 29 113 de 62 50 3 82 140 124 42 132 13 45 30 27 84 78 22 85 77 47 5 31 72 88 63 103 21 81 24 83 7 117 21 83 102 119 87 132 172 9 91 2 6 103 29 72 113 64 132 15 91 7 16 72 87 64 59 11 22 82 28 33 84 25 72 30 150 141 59 3 132 129 77 4 28 140 124 131 si vostre il plaira de trouver moyen de 122 132 140 129 121 47 132
05801_p3_L07	affin que lune soustienne laultre et pour cest effect faudra mener linfanterie le long du rin pour passer la nuict devant nimgen et puis se venir rencontrer au tans et place dsigne combien que vaudra toujours mieux que linfanterie vienne devant que non pas derrire et cause que sur toutes choses laffaire est haste ne trouveroye maintenant que bien en cas le conte louis de nassau se trouve dispos mais sil que sera quil soit accompagni de bons homes et capitaines expriment et je seray bien joyeux que ces seigneurs dont faites mentyon en vostre lettre sy vueillent trouver et men sentiray leur oblig si lon poulroit aussy donner quelque trousse ces italiens et espaignolz qui marschent	05801_p4_L06	24 112 132 296 140 82 38 83 79 113 69 335 82 87 103 3 82 91 2 81 172 27 7 37 78 82 52 91 37 33 29 83 190 126 132 130 141 16 32 76 66 130 141 126 117 81 2 85 23 119 336 115 89 14 5 93 133 129 15 130 126 68 3 59 39 25 124 126 12 64 27 72 23 111 85 132 140 124 2 30 103 85 77 81 81 3 32 272 124 132 et 140 124 30 102 27 132 140 29 82 125 40 84 3 183 23 125 22 81 7 9 4 34 24 140 124 62 37 82 84 3 10 82 34 19 41 7 78 84 75 82 3 83 85 117 132 3 81 2 132 190 3 112 36 62 58 77 88 79 90 30 103 8 39 27 137 134 117 102 82 37 90 82 113 356 83 82 85 132 140 79 3 32 132 140 82 132 124 121 141 59 5 130 86 28 128 77 81 29 88 83 23 85 139 150 121 125 scavoir que fut trouve 121 140 115 65 81 30 84 115 21 83 81 28 34 132 125 98 64 29 33 81 85 82 132 140 30 89 37 132 85 132 140 88 54 132 117 89 34 31 85 105 108 30 51 28 82 177 29 84 31 23 82 102 3 132 15 28 59 28 81 132 191 46 102 30 103 111 139 16 36 82 88 16 36 101 112 132 79 101 39 132 84 72 75 7 116 86 92 2 82 132 140 129 7 3 27 132 81 32 73 53 12 105 33 82 105 52 27 132 129 140 81 96 57 132 88 140 128 129 47 2 132 77 60 75 83 29 72 102 92 152 141 52 36 21 26 134 126 14 4 75 140 16 102 132 126 77 30 132 152 141 61 129 47 3 134 126 78 7 5 132 126 81 2 87 30 31 21 82 132 141 129 47 3 134 126 27 52 130 36 37 82 103 112 115 83 3 34 111 81 32 34 24 82 29 124 82 31 117 83 3 132 124 26 81 3 32 102 32 69 37 70 82 24 124 7 67 73 132 22 124 125 130 147 88 101 152 72 57 72 124 7 87 73 132 62 37 27 3 30 55 14 3 132 140 59 36 90 7 32 29 134 125 82 112 132 82 75 69 40 26 29 81 132 124 141 82 121 72 82 28 101 32 62 111 102 83 3 27 140 121 85 27 86 72 132 54 114 28 130 124 83 140 121 96 23 72 27 5 33 133
