code	value_7206	grade	occurrences	key_full	vs_key_full	key_5799	vs_key_5799
1	n	H	13	n	agree		new code
2	n	H	23	n	agree		new code
3	n	H	12	n	agree		new code
4	n	H	10	n	agree		new code
5	n	H	8	n	agree		new code
6	o	H	15	o	agree		new code
7	o	H	15	o	agree		new code
8	o	H	15	o	agree		new code
9	o	H	15	o	agree		new code
10	o	H	11	o	agree	a	conflict
11	p	H	6	p	agree		new code
12	p	H	8	p	agree		new code
13	p	H	6	p	agree		new code
14	p	H	3	p	agree		new code
15	p	H	2	p	agree	y	conflict
16	q	M	1	q	agree		new code
17	q	H	4	q	agree		new code
18	q	H	3	q	agree		new code
19	q	M	1	q	agree		new code
20	e	M	2	q	conflict		new code
21	r	H	12	r	agree	l	conflict
22	r	H	15	r	agree	u	conflict
23	r	H	17	r	agree	NULL	conflict
24	r	H	14	r	agree	e	conflict
25	r	H	5	r	agree	c	conflict
26	s	H	6	s	agree	i	conflict
27	s	H	28	s	agree	r	conflict
28	s	H	19	s	agree	NULL	conflict
29	s	H	13	s	agree	t	conflict
30	s	H	7	s	agree	i	conflict
31	t	H	6	t	agree		new code
32	t	H	15	t	agree	u	conflict
33	t	H	14	t	agree		new code
34	t	H	14	t	agree	s	conflict
35	t	H	6	t	agree	t	agree
36	u	H	16	u	agree		new code
37	u	H	19	u	agree	s	conflict
38	u	H	23	u	agree	e	conflict
39	u	H	11	u	agree	a	conflict
40	v	H	5	u	agree		new code
46	x	M	1	x	agree	o	conflict
47	x	M	1	x	agree	p	conflict
49	x	M	1	x	agree	NULL	conflict
51	y	M	2	y	agree		new code
52	y	H	3	y	agree	i	agree
53	y	M	1	y	agree	r	conflict
54	y	H	7	y	agree	n	conflict
55	y	H	2	y	agree	o	conflict
56	z	M	1	z	agree	o	conflict
57	z	M	1	z	agree	i	conflict
60	z	M	1	z	agree	NULL	conflict
61	a	H	6	a	agree	e	conflict
62	a	H	17	a	agree	m	conflict
63	a	H	13	a	agree		new code
64	a	H	16	a	agree	s	conflict
65	a	H	5	a	agree	m	conflict
66	b	H	2	b	agree	l	conflict
68	b	M	1	b	agree		new code
69	b	M	1	b	agree	p	conflict
70	b	M	1	b	agree		new code
71	c	H	3	c	agree		new code
72	c	H	6	c	agree		new code
73	c	H	5	c	agree		new code
74	c	H	2	c	agree		new code
75	c	H	6	c	agree		new code
76	d	H	6	d	agree		new code
77	d	H	11	d	agree	o	conflict
78	d	H	7	d	agree	r	conflict
79	d	H	7	d	agree	n	conflict
80	d	H	7	d	agree	s	conflict
81	e	H	42	e	agree		new code
82	e	H	38	e	agree		new code
83	e	H	33	e	agree		new code
84	e	H	25	e	agree		new code
85	e	H	18	e	agree		new code
86	f	M	1	f	agree	e	conflict
88	f	M	1	f	agree		new code
89	f	M	1	f	agree		new code
90	f	M	1	f	agree	a	conflict
91	g	H	2	g	agree		new code
92	g	H	3	g	agree		new code
93	g	H	3	g	agree		new code
94	g	H	5	g	agree	e	conflict
98	h	M	1	h	agree	m	conflict
100	h	H	4	h	agree	e	conflict
101	i	H	7	i	agree	n	conflict
102	i	H	5	i	agree	NULL	conflict
103	i	H	12	i	agree	l	conflict
104	i	H	11	i	agree		new code
105	i	H	7	i	agree	c	conflict
111	l	H	6	l	agree		new code
112	l	H	14	l	agree		new code
113	l	H	10	l	agree		new code
114	l	H	5	l	agree		new code
115	l	H	5	l	agree		new code
116	m	H	3	m	agree	u	conflict
117	m	H	6	m	agree	l	conflict
118	m	H	2	m	agree	t	conflict
119	m	H	5	m	agree	e	conflict
120	m	H	5	m	agree	n	conflict
121	NULL	H	4	NULL	agree		new code
122	c	M	3	NULL	conflict		new code
123	ne	M	2	l	conflict	NULL	conflict
125	m	M	1		new code	a	conflict
126	NULL	H	3	NULL	agree	e	conflict
127	e	M	10	NULL	conflict	n	conflict
128	NULL	H	5	NULL	agree	r	conflict
129	NULL	H	4	NULL	agree	p	conflict
130	NULL	H	6	NULL	agree	u	conflict
131	NULL	H	8	NULL	agree		new code
132	a	M	1	NULL	conflict	m	conflict
133	s	M	1	NULL	conflict		new code
136	e	M	4	uingt	conflict		new code
137	NULL	H	5	NULL	agree	n	conflict
138	cesteescripte	M	2	NULL	conflict		new code
139	anterie	M	4		new code	NULL	conflict
140	franoy	M	1		new code	NULL	conflict
141	andsknechtz	M	2	NULL	conflict		new code
142	NULL	H	3		new code		new code
143	le	M	2	NULL	conflict		new code
146	d	M	1		new code		new code
147	f	M	3		new code		new code
148	m	M	1		new code		new code
149	landsknechtz	M	2		new code		new code
150	d	M	4		new code		new code
172	it	M	3	lecontejean	conflict		new code
196	de	M	3		new code		new code
202	g	M	1	franckreich	conflict		new code
208	d	M	2		new code		new code
217	oomel	M	1	srgeertruydenbergh	conflict		new code
222	gravesande	M	1		new code		new code
227	enchuysen	M	1		new code		new code
228	schiedam	M	1		new code		new code
242	rotterdam	M	1		new code		new code
254	NULL	M	1		new code		new code
259	edammonichedam	M	1		new code		new code
260	alckmar	M	1		new code		new code
261	vlaerdinguen	M	1		new code		new code
276	a	M	1		new code		new code
294	NULL	M	1		new code		new code
311	papes	M	1		new code		new code
312	ville	M	1	uillede	conflict		new code
335	avallerie	M	1		new code		new code
336	f	M	1	fussvolck	conflict		new code
339	l	M	2	harquebouziers	conflict		new code
340	le	H	2		new code		new code
348	roments	M	1		new code		new code
