value	meaning	n	agree	others
1	n	12	12	
2	n	21	18	e:1,r:1,y:1
3	n	12	12	
4	n	9	9	
5	n	7	5	y:2
6	o	15	15	
7	o	15	15	
8	o	15	13	t:1,u:1
9	o	15	14	h:1
10	o	10	10	
11	p	5	4	y:1
12	p	8	7	b:1
13	p	6	6	
14	p	3	3	
15	p	2	2	
16	q	1	1	
17	q	4	4	
18	q	3	3	
19	q	1	1	
20	e	2	1	q:1
21	r	12	12	
22	r	15	15	
23	r	17	17	
24	r	14	14	
25	r	5	5	
26	s	6	6	
27	s	27	27	
28	s	19	18	t:1
29	s	13	13	
30	s	7	5	i:1,z:1
31	t	6	6	
32	t	15	14	y:1
33	t	13	13	
34	t	14	14	
35	t	6	6	
36	u	16	15	n:1
37	u	19	18	n:1
38	u	23	23	
39	u	11	11	
40	v	5	5	
46	x	1	1	
47	x	1	1	
49	x	1	1	
51	y	1	1	
52	y	3	2	s:1
53	y	1	1	
54	y	6	6	
55	y	2	2	
56	z	1	1	
57	z	1	1	
60	z	1	1	
61	a	6	6	
62	a	17	15	e:1,y:1
63	a	13	13	
64	a	16	16	
65	a	5	5	
66	b	2	2	
68	b	1	1	
69	b	1	1	
70	b	1	1	
71	c	3	3	
72	c	6	6	
73	c	5	4	d:1
74	c	2	2	
75	c	6	4	r:1,t:1
76	d	6	6	
77	d	11	9	g:2
78	d	7	6	e:1
79	d	7	6	b:1
80	d	7	7	
81	e	42	41	c:1
82	e	38	37	a:1
83	e	33	33	
84	e	24	24	
85	e	18	18	
86	f	1	1	
88	f	1	1	
89	f	1	1	
90	f	1	1	
91	g	2	2	
92	g	3	3	
93	g	3	3	
94	g	5	5	
98	h	1	1	
100	h	4	4	
101	i	6	6	
102	i	4	3	j:1
103	i	10	9	y:1
104	i	10	9	j:1
105	i	7	7	
111	l	6	5	t:1
112	l	14	14	
113	l	10	10	
114	l	5	5	
115	l	5	4	c:1
116	m	3	3	
117	m	5	5	
118	m	2	2	
119	m	5	5	
120	m	4	3	n:1
121	i	1	1	
122	c	3	1	lumbres:1,n:1
123	ne	1	1	
125	m	1	1	
126	ducdesaxe	1	1	
127	e	5	2	i:1,mesontvenuz:1,namarcque:1
128	enamarcque	2	1	j:1
129	d	1	1	
130	deuxlettres	2	1	lumbres:1
131	leterr	3	1	t:1,vouldroit:1
132	a	1	1	
133	s	1	1	
136	e	3	1	saxe:1,strich:1
137	b	1	1	
138	cesteescripte	2	1	d:1
139	anterie	3	1	de:1,vousdepuis:1
140	franoy	1	1	
141	andsknechtz	2	1	uc:1
142	mesdernieres	1	1	
143	le	1	1	
146	d	1	1	
147	f	2	1	y:1
148	m	1	1	
149	landsknechtz	1	1	
150	d	3	1	monsieur:1,franois:1
172	it	3	1	lumbres:1,udit:1
196	de	3	1	ducdesaxe:1,le:1
202	g	1	1	
208	d	2	1	e:1
217	oomel	1	1	
222	gravesande	1	1	
227	enchuysen	1	1	
228	schiedam	1	1	
242	rotterdam	1	1	
259	edammonichedam	1	1	
260	alckmar	1	1	
261	vlaerdinguen	1	1	
276	a	1	1	
311	papes	1	1	
312	ville	1	1	
335	avallerie	1	1	
336	f	1	1	
339	l	2	1	lle:1
340	le	2	2	
348	roments	1	1	
