cipher_line	anchor	plain_found	dist
07206_p3_L04a	communiqueparticulierementdetousnozaffaires	communiquerparticulierementdetousnozaffaires	1
07206_p3_L04b	jetreuvebonlordrequavezdonne	jetreuvebonlordrequavezdonne	0
07206_p3_L06c	pouravoirencores	peuavoirenvoire	5
07206_p3_L07a	seseroitfortadvantageulxpourautantque	sseroitestefortavantageuxpourautantque	7
07206_p3_L10a	orquantauvoiaigede	etquantauvoiagede	3
07206_p3_L10a	jeletrouvefortbienetseroitaespererquelebonsuccesnousapporteroitquelquefruictmaisacausequejesuisfortdebonslieuxadvertisqueleschosessontfortenaigriesentre	jelegoustefortbienetseroitaespererquelebonheurquerezdicelluynousapporteroitparderaquelquefruictmaisacausequejesuisicydebonslieuxadvertizqueleschosessontfortenaigriesentre	31
07206_p3_L13a	jecrainsque	jecrainsque	0
07206_p3_L13a	seroitledictvoiaigenonseullementdedangiermaisque	feroitcevoiagenonseullementenvainmaisque	14
07206_p4_L02	quetoutesfoiscestedifficultelaisseeetlaouonseroitasseureque	quetoutesfoixrestedifficulteencoretlaonyseroitassureque	13
07206_p4_L05	couvrantsoubztelpretextechosequipourroittendreauprejudicedu	romantsoubztelpretextchosequipeusttendreauprejudicedu	10
07206_p4_L07	etquildesire	etquildesire	0
07206_p4_L11	etcroypouraucunmauvaiseffectjenetrouverayestrange	enonpouraultruymauvaiseffectjenetrouveroisestrange	11
07206_p4_L13	moyennantqueloneustpremierement	moyennantqueloneustpremierement	0
07206_p4_L16	laisserasortir	laisserasortir	0
07206_p4_L20	ouaucunaultrelieu	ouaultruyautrelieu	5
07206_p4_L26	ennrepouvoir	envrepouvoir	1
07206_p4_L27	prenantdecelatelleasseurance	prenantdecelatelleasseurance	0
07206_p4_L29	quipourrasuffirevousypourrezdeplusprespenseretbienposercefaictlequeljeremetzacesteffetladessus	quipourrasuffirevousypourrezdeplusprespenseretbienposercefaitlequeljeremetzacesteffectavous	7
