code	value_7205	grade	occurrences	key_full	vs_key_full	key_5799	vs_key_5799
0	m	M	2		new code		new code
1	n	M	77	n	agree		new code
2	n	M	96	n	agree		new code
3	n	M	60	n	agree		new code
4	n	M	36	n	agree		new code
5	n	M	23	n	agree		new code
6	o	M	28	o	agree		new code
7	o	M	28	o	agree		new code
8	o	M	77	o	agree		new code
9	o	M	73	o	agree		new code
10	o	M	45	o	agree	a	conflict
11	l	M	28	p	conflict		new code
12	p	M	44	p	agree		new code
13	p	M	32	p	agree		new code
14	m	M	19	p	conflict		new code
15	d	M	17	p	conflict	y	conflict
16	NULL	H	4	q	conflict		new code
17	q	M	19	q	agree		new code
18	q	M	30	q	agree		new code
19	q	M	15	q	agree		new code
20	s	M	41	q	conflict		new code
21	r	M	76	r	agree	l	conflict
22	r	M	68	r	agree	u	conflict
23	r	M	45	r	agree	NULL	conflict
24	r	M	36	r	agree	e	conflict
25	r	M	19	r	agree	c	conflict
26	s	H	13	s	agree	i	conflict
27	s	M	103	s	agree	r	conflict
28	s	M	95	s	agree	NULL	conflict
29	s	M	58	s	agree	t	conflict
30	s	M	61	s	agree	i	conflict
31	t	M	64	t	agree		new code
32	t	M	55	t	agree	u	conflict
33	t	M	62	t	agree		new code
34	t	M	35	t	agree	s	conflict
35	t	M	30	t	agree	t	agree
36	u	M	16	u	agree		new code
37	u	M	85	u	agree	s	conflict
38	u	M	78	u	agree	e	conflict
39	u	M	51	u	agree	a	conflict
40	u	M	29	u	agree		new code
41	u	M	1	v	agree	q	conflict
47	NULL	H	5	x	conflict	p	conflict
48	a	H	8	x	conflict	e	conflict
49	n	M	1	x	conflict	NULL	conflict
50	p	M	1	x	conflict	p	agree
51	l	M	9	y	conflict		new code
52	NULL	H	2	y	conflict	i	conflict
53	NULL	H	3	y	conflict	r	conflict
54	NULL	H	3	y	conflict	n	conflict
55	NULL	H	13	y	conflict	o	conflict
57	u	M	2	z	conflict	i	conflict
58	NULL	H	5	z	conflict	n	conflict
59	z	H	3	z	agree	NULL	conflict
60	n	M	6	z	conflict	NULL	conflict
61	a	H	13	a	agree	e	conflict
62	a	H	9	a	agree	m	conflict
63	a	M	6	a	agree		new code
64	a	M	7	a	agree	s	conflict
65	a	M	31	a	agree	m	conflict
66	NULL	M	1	b	conflict	l	conflict
68	b	M	2	b	agree		new code
69	NULL	M	1	b	conflict	p	conflict
70	u	M	12	b	conflict		new code
