telegram	witness	word_index	reading	confidence	note
E4	mssEC19 p.49 (ptr 8941)	1	Rosetta	h	
E4	mssEC19 p.49 (ptr 8941)	2	For	h	
E4	mssEC19 p.49 (ptr 8941)	3	Knox	m	Knox: final letter an open double loop read x; could be read e (Knoe); no t or s visible
E4	mssEC19 p.49 (ptr 8941)	4	unity	h	
E4	mssEC19 p.49 (ptr 8941)	5	If	h	
E4	mssEC19 p.49 (ptr 8941)	6	you	h	
E4	mssEC19 p.49 (ptr 8941)	7	can	h	
E4	mssEC19 p.49 (ptr 8941)	8	block	h	
E4	mssEC19 p.49 (ptr 8941)	9	the	h	
E4	mssEC19 p.49 (ptr 8941)	10	Channel	h	
E4	mssEC19 p.49 (ptr 8941)	11	Baden	h	
E4	mssEC19 p.49 (ptr 8941)	12	Sidney	h	
E4	mssEC19 p.49 (ptr 8941)	13	so	h	
E4	mssEC19 p.49 (ptr 8941)	14	she	h	
E4	mssEC19 p.49 (ptr 8941)	15	can	h	
E4	mssEC19 p.49 (ptr 8941)	16	not	h	
E4	mssEC19 p.49 (ptr 8941)	17	get	h	
E4	mssEC19 p.49 (ptr 8941)	18	in	h	
E4	mssEC19 p.49 (ptr 8941)	19	to	h	
E4	mssEC19 p.49 (ptr 8941)	20	Pamlico	m	initial capital written in the ledger clerk's B/P form; Pamlico by sense
E4	mssEC19 p.49 (ptr 8941)	21	Sound	h	
E4	mssEC19 p.49 (ptr 8941)	22	we	h	
E4	mssEC19 p.49 (ptr 8941)	23	will	h	
E4	mssEC19 p.49 (ptr 8941)	24	have	h	
E4	mssEC19 p.49 (ptr 8941)	25	some	h	
E4	mssEC19 p.49 (ptr 8941)	26	Camels	h	
E4	mssEC19 p.49 (ptr 8941)	27	made	m	made: ending de or ke not distinguishable
E4	mssEC19 p.49 (ptr 8941)	28	in	h	
E4	mssEC19 p.49 (ptr 8941)	29	a	h	
E4	mssEC19 p.49 (ptr 8941)	30	few	h	
E4	mssEC19 p.49 (ptr 8941)	31	days	h	
E4	mssEC19 p.49 (ptr 8941)	32	to	h	
E4	mssEC19 p.49 (ptr 8941)	33	lighten	h	
E4	mssEC19 p.49 (ptr 8941)	34	the	h	
E4	mssEC19 p.49 (ptr 8941)	35	Tecumseh	h	
E4	mssEC19 p.49 (ptr 8941)	36	Iron	h	
E4	mssEC19 p.49 (ptr 8941)	37	clad	m	clad (Iron clad); mssEC25 reads Cleared
E4	mssEC19 p.49 (ptr 8941)	38	so	h	
E4	mssEC19 p.49 (ptr 8941)	39	she	h	
E4	mssEC19 p.49 (ptr 8941)	40	can	h	
E4	mssEC19 p.49 (ptr 8941)	41	cross	h	
E4	mssEC19 p.49 (ptr 8941)	42	the	h	
E4	mssEC19 p.49 (ptr 8941)	43	bar	h	
E4	mssEC19 p.49 (ptr 8941)	44	at	h	
E4	mssEC19 p.49 (ptr 8941)	45	Hatter	h	written Hatter=As as one run with an equals sign
E4	mssEC19 p.49 (ptr 8941)	46	As	h	As, capital, after = sign
E4	mssEC19 p.49 (ptr 8941)	47	Platina	h	
E4	mssEC19 p.49 (ptr 8941)	48	feet	h	
E4	mssEC19 p.49 (ptr 8941)	49	and	h	
E4	mssEC19 p.49 (ptr 8941)	50	protect	h	
E4	mssEC19 p.49 (ptr 8941)	51	all	h	
E4	mssEC19 p.49 (ptr 8941)	52	Navy	m	Navy: capital N with long lead-in stroke; a w/W reading (Waxy) is possible from the letter form alone
E4	mssEC19 p.49 (ptr 8941)	53	of	h	
E4	mssEC19 p.49 (ptr 8941)	54	Radin	m	capital R/B ambiguous: Radin, Raden or Badin
E4	mssEC19 p.49 (ptr 8941)	55	Smyrna	h	
E4	mssEC19 p.49 (ptr 8941)	56	yoke	h	
E4	mssEC19 p.49 (ptr 8941)	57	asst	m	asst with raised t; mssEC25 ass
E4	mssEC19 p.49 (ptr 8941)	58	Brenton	l	B + r/u + n/x + ton; Brenton, Bruxton or Buxton all fit the strokes
E4	mssEC19 p.49 (ptr 8941)	59	Fox	m	Fox (or Fax); mssEC25 Fawks
E4	mssEC19 p.49 (ptr 8941)	60	Hon	m	Hon (or How); mssEC25 how
