line	position	sign	confidence	source
hstam_4_h_1411_0003_L24_s1	1	79	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	2	74	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	3	36	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	4	7	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	5	22	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	6	73	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	7	N	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	8	52	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	9	Y	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	10	94	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	11	27	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	12	39	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	13	13	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	14	57	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	15	55	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	16	83	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L24_s1	17	77	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	1	95	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	2	D	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	3	10	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	4	Y	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	5	42	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	6	92	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	7	35	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	8	44	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	9	11	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	10	43	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	11	58	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	12	93	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	13	63	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	14	88	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	15	63	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	16	43	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	17	79	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	18	65	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L25_s1	19	63	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	1	55	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	2	83	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	3	29	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	4	84	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	5	91	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	6	61	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	7	18	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	8	48	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	9	27	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	10	16	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	11	22	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	12	27	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	13	84	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	14	97	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	15	50	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	16	97	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	17	95	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	18	27	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	19	79	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	20	44	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	21	58	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	22	41	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	23	30	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	24	70	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	25	19	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	26	60	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	27	87	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	28	94	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	29	16	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L26_s1	30	31	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	2	77	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	3	39	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	4	99	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	5	58	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	6	71	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	7	42	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	8	80	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	9	35	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	10	44	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	11	32	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	12	71	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	13	19	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	14	94	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	15	58	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	16	56	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	17	24	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	18	35	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	19	65	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	20	#	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	21	29	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	22	16	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	23	74	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	24	39	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	25	83	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	26	26	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	27	79	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L27_s1	28	44	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	1	83	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	2	70	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	3	X	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	4	128	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	5	74	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	6	73	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	7	H	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	8	66	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	9	38	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	10	36	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	11	94	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	12	11	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	13	30	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	14	84	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	15	176	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	16	37	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	17	66	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	18	97	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	19	94	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	20	73	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	21	22	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	22	79	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	23	140	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	24	31	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	25	11	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L28_s1	26	26	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	1	39	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	2	31	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	3	50	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	4	70	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	5	22	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	6	54	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	7	16	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	8	22	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	9	90	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	10	71	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	11	930	M	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	13	55	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	14	19	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	15	26	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	16	11	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	17	36	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	18	79	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	19	31	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	20	S	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	21	23	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	22	32	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	23	36	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	24	74	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	25	79	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	26	56	H	ff.3/12 bMAL3
hstam_4_h_1411_0003_L29_s1	27	36	H	ff.3/12 bMAL3
